wavelength_nm,n,k
364.075000,1.623170,0.240770
365.108770,1.619240,0.241710
366.142550,1.615440,0.242720
367.176320,1.611760,0.243810
368.210090,1.608200,0.244970
369.243860,1.604760,0.246190
370.277640,1.601430,0.247480
371.311410,1.598220,0.248830
372.345180,1.595120,0.250230
373.378960,1.592130,0.251690
374.412730,1.589240,0.253200
375.446500,1.586460,0.254750
376.480280,1.583780,0.256350
377.514050,1.581200,0.258000
378.547820,1.578720,0.259680
379.581590,1.576340,0.261390
380.615370,1.574060,0.263150
381.649140,1.571860,0.264930
382.682910,1.569760,0.266750
383.716690,1.567750,0.268590
384.750460,1.565830,0.270460
385.784230,1.564000,0.272350
386.818010,1.562250,0.274270
387.851780,1.560590,0.276200
388.885550,1.559010,0.278160
389.919320,1.557510,0.280130
390.953100,1.556100,0.282120
391.986870,1.554760,0.284120
393.020640,1.553500,0.286140
394.054420,1.552320,0.288160
395.088190,1.551210,0.290190
396.121960,1.550180,0.292240
397.155740,1.549220,0.294290
398.189510,1.548340,0.296340
399.223280,1.547530,0.298400
400.257050,1.546780,0.300460
401.290830,1.546110,0.302520
402.324600,1.545510,0.304590
403.358370,1.544970,0.306650
404.392150,1.544500,0.308710
405.425920,1.544090,0.310770
406.459690,1.543750,0.312820
407.493470,1.543480,0.314860
408.527240,1.543270,0.316900
409.561010,1.543120,0.318940
410.594780,1.543030,0.320960
411.628560,1.543000,0.322970
412.662330,1.543040,0.324970
413.696100,1.543130,0.326960
414.729880,1.543280,0.328940
415.763650,1.543490,0.330900
416.797420,1.543760,0.332840
417.831200,1.544080,0.334770
418.864970,1.544460,0.336680
419.898740,1.544890,0.338570
420.932510,1.545380,0.340440
421.966290,1.545920,0.342290
423.000060,1.546520,0.344120
424.033830,1.547160,0.345920
425.067610,1.547860,0.347700
426.101380,1.548610,0.349450
427.135150,1.549410,0.351170
428.168930,1.550260,0.352870
429.202700,1.551160,0.354540
430.236470,1.552110,0.356170
431.270240,1.553100,0.357770
432.304020,1.554140,0.359340
433.337790,1.555220,0.360870
434.371560,1.556350,0.362370
435.405340,1.557520,0.363820
436.439110,1.558730,0.365240
437.472880,1.559990,0.366610
438.506660,1.561280,0.367940
439.540430,1.562610,0.369230
440.574200,1.563980,0.370470
441.607970,1.565390,0.371660
442.641750,1.566830,0.372800
443.675520,1.568300,0.373900
444.709290,1.569800,0.374930
445.743070,1.571340,0.375910
446.776840,1.572890,0.376840
447.810610,1.574470,0.377710
448.844390,1.576070,0.378520
449.878160,1.577690,0.379260
450.911930,1.579330,0.379950
451.945700,1.580980,0.380570
452.979480,1.582640,0.381130
454.013250,1.584300,0.381630
455.047020,1.585970,0.382050
456.080800,1.587630,0.382420
457.114570,1.589300,0.382720
458.148340,1.590950,0.382950
459.182120,1.592590,0.383120
460.215890,1.594220,0.383230
461.249660,1.595820,0.383270
462.283430,1.597410,0.383260
463.317210,1.598970,0.383190
464.350980,1.600500,0.383060
465.384750,1.602000,0.382870
466.418530,1.603470,0.382640
467.452300,1.604900,0.382360
468.486070,1.606300,0.382030
469.519850,1.607660,0.381650
470.553620,1.608970,0.381240
471.587390,1.610250,0.380780
472.621160,1.611480,0.380290
473.654940,1.612670,0.379770
474.688710,1.613820,0.379220
475.722480,1.614920,0.378640
476.756260,1.615970,0.378030
477.790030,1.616990,0.377390
478.823800,1.617950,0.376740
479.857580,1.618870,0.376060
480.891350,1.619750,0.375370
481.925120,1.620580,0.374660
482.958890,1.621370,0.373940
483.992670,1.622120,0.373200
485.026440,1.622820,0.372450
486.060210,1.623470,0.371700
487.093990,1.624090,0.370930
488.127760,1.624660,0.370150
489.161530,1.625180,0.369370
490.195310,1.625670,0.368590
491.229080,1.626110,0.367800
492.262850,1.626510,0.367000
493.296620,1.626870,0.366210
494.330400,1.627180,0.365410
495.364170,1.627460,0.364620
496.397940,1.627690,0.363820
497.431720,1.627890,0.363030
498.465490,1.628040,0.362240
499.499260,1.628150,0.361450
500.533040,1.628230,0.360670
501.566810,1.628260,0.359890
502.600580,1.628250,0.359120
503.634350,1.628200,0.358350
504.668130,1.628110,0.357600
505.701900,1.627990,0.356850
506.735670,1.627820,0.356100
507.769450,1.627610,0.355370
508.803220,1.627360,0.354650
509.836990,1.627070,0.353940
510.870770,1.626740,0.353250
511.904540,1.626370,0.352560
512.938310,1.625960,0.351890
513.972080,1.625510,0.351240
515.005860,1.625020,0.350600
516.039630,1.624490,0.349980
517.073400,1.623920,0.349370
518.107180,1.623300,0.348780
519.140950,1.622640,0.348220
520.174720,1.621950,0.347670
521.208500,1.621200,0.347150
522.242270,1.620420,0.346650
523.276040,1.619590,0.346180
524.309810,1.618720,0.345730
525.343590,1.617810,0.345310
526.377360,1.616860,0.344920
527.411130,1.615860,0.344560
528.444910,1.614810,0.344240
529.478680,1.613720,0.343950
530.512450,1.612590,0.343690
531.546230,1.611410,0.343480
532.580000,1.610190,0.343310
533.613770,1.608930,0.343180
534.647540,1.607620,0.343090
