wavelength_nm,n,k
350.000000,1.839000,0.000001
355.000000,1.833000,0.000000
360.000000,1.828000,0.000000
365.000000,1.823000,0.000000
370.000000,1.819000,0.000000
375.000000,1.814000,0.000000
380.000000,1.810000,0.000000
385.000000,1.806000,0.000000
390.000000,1.803000,0.000000
395.000000,1.799000,0.000000
400.000000,1.795000,0.000000
405.000000,1.792000,0.000000
410.000000,1.789000,0.000000
415.000000,1.785000,0.000000
420.000000,1.782000,0.000000
425.000000,1.779000,0.000000
430.000000,1.776000,0.000000
435.000000,1.773000,0.000000
440.000000,1.770000,0.000000
445.000000,1.767000,0.000000
450.000000,1.764000,0.000000
455.000000,1.761000,0.000000
460.000000,1.758000,0.000000
465.000000,1.755000,0.000000
470.000000,1.753000,0.000000
475.000000,1.750000,0.000000
480.000000,1.747000,0.000000
485.000000,1.744000,0.000000
490.000000,1.742000,0.000000
495.000000,1.739000,0.000000
500.000000,1.737000,0.000000
505.000000,1.734000,0.000000
510.000000,1.731000,0.000000
515.000000,1.729000,0.000000
520.000000,1.726000,0.000000
525.000000,1.724000,0.000000
530.000000,1.722000,0.000000
535.000000,1.719000,0.000000
540.000000,1.717000,0.000000
545.000000,1.714000,0.000000
550.000000,1.712000,0.000000
555.000000,1.710000,0.000000
560.000000,1.708000,0.000000
565.000000,1.705000,0.000000
570.000000,1.703000,0.000000
575.000000,1.701000,0.000000
580.000000,1.699000,0.000000
585.000000,1.697000,0.000000
590.000000,1.695000,0.000000
595.000000,1.693000,0.000000
600.000000,1.691000,0.000000
605.000000,1.689000,0.000000
610.000000,1.687000,0.000000
615.000000,1.685000,0.000000
620.000000,1.683000,0.000000
625.000000,1.681000,0.000000
630.000000,1.679000,0.000000
635.000000,1.677000,0.000000
640.000000,1.675000,0.000000
645.000000,1.674000,0.000000
650.000000,1.672000,0.000000
655.000000,1.670000,0.000000
660.000000,1.668000,0.000000
665.000000,1.667000,0.000000
670.000000,1.665000,0.000000
675.000000,1.663000,0.000000
680.000000,1.662000,0.000000
685.000000,1.660000,0.000000
690.000000,1.658000,0.000000
695.000000,1.657000,0.000000
700.000000,1.655000,0.000000
705.000000,1.654000,0.000000
710.000000,1.652000,0.000000
715.000000,1.651000,0.000000
720.000000,1.649000,0.000000
725.000000,1.648000,0.000000
730.000000,1.647000,0.000000
735.000000,1.645000,0.000000
740.000000,1.644000,0.000000
745.000000,1.642000,0.000000
750.000000,1.641000,0.000000
755.000000,1.640000,0.000000
760.000000,1.639000,0.000000
765.000000,1.637000,0.000000
770.000000,1.636000,0.000000
775.000000,1.635000,0.000000
780.000000,1.634000,0.000000
785.000000,1.632000,0.000001
790.000000,1.631000,0.000001
795.000000,1.630000,0.000001
800.000000,1.629000,0.000001
805.000000,1.628000,0.000001
810.000000,1.627000,0.000001
815.000000,1.625000,0.000001
820.000000,1.624000,0.000001
825.000000,1.623000,0.000001
830.000000,1.622000,0.000001
835.000000,1.621000,0.000001
840.000000,1.620000,0.000001
845.000000,1.619000,0.000001
850.000000,1.618000,0.000001
855.000000,1.617000,0.000001
860.000000,1.616000,0.000001
865.000000,1.615000,0.000001
870.000000,1.614000,0.000001
875.000000,1.613000,0.000001
880.000000,1.612000,0.000001
885.000000,1.611000,0.000001
890.000000,1.610000,0.000001
895.000000,1.610000,0.000001
900.000000,1.609000,0.000001
905.000000,1.608000,0.000001
910.000000,1.607000,0.000001
915.000000,1.606000,0.000001
920.000000,1.605000,0.000001
925.000000,1.605000,0.000001
930.000000,1.604000,0.000001
