wavelength_nm,n,k
300.000000,1.500000,0.000040
310.000000,1.500000,0.000029
320.000000,1.500000,0.000017
330.000000,1.500000,0.000006
340.000000,1.500000,0.000002
350.000000,1.500000,0.000001
360.000000,1.500000,0.000000
370.000000,1.500000,0.000000
380.000000,1.500000,0.000000
390.000000,1.500000,0.000000
400.000000,1.500000,0.000000
410.000000,1.500000,0.000000
420.000000,1.500000,0.000000
430.000000,1.500000,0.000000
440.000000,1.500000,0.000000
450.000000,1.500000,0.000000
460.000000,1.500000,0.000000
470.000000,1.500000,0.000000
480.000000,1.500000,0.000000
490.000000,1.500000,0.000000
500.000000,1.500000,0.000000
510.000000,1.500000,0.000000
520.000000,1.500000,0.000000
530.000000,1.500000,0.000000
540.000000,1.500000,0.000000
550.000000,1.500000,0.000000
560.000000,1.500000,0.000000
570.000000,1.500000,0.000000
580.000000,1.500000,0.000000
590.000000,1.500000,0.000000
600.000000,1.500000,0.000000
610.000000,1.500000,0.000000
620.000000,1.500000,0.000000
630.000000,1.500000,0.000000
640.000000,1.500000,0.000000
650.000000,1.500000,0.000000
660.000000,1.500000,0.000000
670.000000,1.500000,0.000000
680.000000,1.500000,0.000000
690.000000,1.500000,0.000000
700.000000,1.500000,0.000000
710.000000,1.500000,0.000000
720.000000,1.500000,0.000000
730.000000,1.500000,0.000000
740.000000,1.500000,0.000000
750.000000,1.500000,0.000000
760.000000,1.500000,0.000000
770.000000,1.500000,0.000000
780.000000,1.500000,0.000000
790.000000,1.500000,0.000000
800.000000,1.500000,0.000000
810.000000,1.500000,0.000000
820.000000,1.500000,0.000000
830.000000,1.500000,0.000000
840.000000,1.500000,0.000000
850.000000,1.500000,0.000000
860.000000,1.500000,0.000000
870.000000,1.500000,0.000000
880.000000,1.500000,0.000000
890.000000,1.500000,0.000000
900.000000,1.500000,0.000000
910.000000,1.500000,0.000000
920.000000,1.500000,0.000000
930.000000,1.500000,0.000000
940.000000,1.500000,0.000000
950.000000,1.500000,0.000000
960.000000,1.500000,0.000000
970.000000,1.500000,0.000000
980.000000,1.500000,0.000000
990.000000,1.500000,0.000000
1000.000000,1.500000,0.000000
1010.000000,1.500000,0.000000
1020.000000,1.500000,0.000000
1030.000000,1.500000,0.000000
1040.000000,1.500000,0.000000
1050.000000,1.500000,0.000000
1060.000000,1.500000,0.000000
1070.000000,1.500000,0.000000
1080.000000,1.500000,0.000000
1090.000000,1.500000,0.000000
1100.000000,1.500000,0.000000
