wavelength_nm,n,k
826.561300,1.514607,-0.055885
799.898000,1.517106,-0.058994
774.901200,1.518684,-0.060419
751.419300,1.519178,-0.061968
729.318800,1.524134,-0.065725
708.481100,1.525698,-0.068726
688.801100,1.526053,-0.069027
670.184800,1.528687,-0.070406
652.548400,1.533690,-0.074743
635.816400,1.532786,-0.078268
619.921000,1.535675,-0.081028
604.800900,1.535962,-0.085183
590.400900,1.540074,-0.086204
576.670700,1.543433,-0.087246
563.564500,1.545283,-0.091633
551.040800,1.549415,-0.095774
539.061700,1.551293,-0.098388
527.592300,1.557319,-0.101097
516.600800,1.561878,-0.106834
506.057900,1.567020,-0.108757
495.936800,1.568841,-0.107881
486.212500,1.573426,-0.109086
476.862300,1.574179,-0.114267
467.864900,1.576412,-0.116527
459.200700,1.583515,-0.121527
450.851600,1.587157,-0.125910
442.800700,1.589630,-0.129971
435.032200,1.597305,-0.135872
427.531700,1.601676,-0.140159
420.285400,1.609165,-0.144841
413.280600,1.615012,-0.148810
406.505500,1.624390,-0.151428
399.949000,1.633723,-0.154725
393.600600,1.639297,-0.157039
387.450600,1.652923,-0.164055
381.489800,1.653710,-0.167288
375.709700,1.672212,-0.171055
370.102100,1.683895,-0.178148
364.659400,1.687248,-0.176488
359.374500,1.699401,-0.183524
354.240500,1.709135,-0.188726
349.251200,1.725639,-0.191488
344.400500,1.731973,-0.195709
339.682700,1.753795,-0.198029
335.092400,1.769995,-0.203585
330.624500,1.779725,-0.203385
326.274200,1.794773,-0.209495
322.036900,1.821011,-0.211625
317.908200,1.829530,-0.214072
313.884000,1.851949,-0.223711
309.960500,1.871132,-0.218687
306.133800,1.883612,-0.221067
302.400500,1.910876,-0.225922
298.757100,1.925344,-0.241819
295.200500,1.937317,-0.234676
291.727500,1.968166,-0.240395
288.335300,2.000545,-0.242090
285.021100,2.022139,-0.227633
281.782300,2.034871,-0.224408
278.616200,2.047859,-0.235691
275.520400,2.079981,-0.238535
