wavelength_nm,n,k
826.561300,1.546836,-0.103156
799.898000,1.542810,-0.109997
774.901200,1.554170,-0.110889
751.419300,1.561331,-0.117042
729.318800,1.560889,-0.122223
708.481100,1.564315,-0.122544
688.801100,1.571751,-0.126337
670.184800,1.577116,-0.130454
652.548400,1.580314,-0.136201
635.816400,1.587366,-0.139656
619.921000,1.590042,-0.143270
604.800900,1.590148,-0.145346
590.400900,1.602254,-0.152980
576.670700,1.609524,-0.157560
563.564500,1.616335,-0.162300
551.040800,1.620517,-0.168331
539.061700,1.631894,-0.171709
527.592300,1.640470,-0.175238
516.600800,1.648598,-0.180075
506.057900,1.657304,-0.185157
495.936800,1.665241,-0.188821
486.212500,1.673039,-0.198188
476.862300,1.682196,-0.202777
467.864900,1.692818,-0.210124
459.200700,1.706761,-0.215941
450.851600,1.723183,-0.222994
442.800700,1.735273,-0.229367
435.032200,1.754020,-0.235593
427.531700,1.779353,-0.239604
420.285400,1.793278,-0.236124
413.280600,1.807651,-0.233206
406.505500,1.819818,-0.232351
399.949000,1.835854,-0.234817
393.600600,1.851172,-0.236108
387.450600,1.867316,-0.236820
381.489800,1.888244,-0.238374
375.709700,1.902558,-0.236937
370.102100,1.916780,-0.235012
364.659400,1.937779,-0.230810
359.374500,1.952411,-0.231931
354.240500,1.974472,-0.231305
349.251200,1.985898,-0.223024
344.400500,2.006520,-0.221584
339.682700,2.027865,-0.219425
335.092400,2.053208,-0.218870
330.624500,2.076408,-0.219906
326.274200,2.101278,-0.215411
322.036900,2.116723,-0.209443
317.908200,2.154413,-0.202921
313.884000,2.173579,-0.196980
309.960500,2.203084,-0.185710
306.133800,2.235214,-0.190689
302.400500,2.263104,-0.171728
298.757100,2.276678,-0.174192
295.200500,2.332711,-0.150262
291.727500,2.342113,-0.139185
288.335300,2.384993,-0.129889
285.021100,2.439699,-0.114907
281.782300,2.442791,-0.099454
278.616200,2.477236,-0.075175
275.520400,2.508954,-0.053577
272.492700,2.563733,-0.011426
269.530800,2.585001,0.005853
266.632700,2.618332,0.045545
263.796100,2.625533,0.082678
261.019300,2.648953,0.130691
258.300400,2.654438,0.198167
255.637500,2.691607,0.262311
253.029000,2.683221,0.322910
250.473100,2.732153,0.350473
247.968400,2.628329,0.422603
