wavelength_nm,n,k
0.000684,1.967800,0.007820
0.000521,1.961700,0.006774
0.000395,1.955800,0.005861
0.000299,1.950100,0.005065
0.000225,1.944600,0.004372
0.000169,1.939300,0.003769
0.000127,1.934300,0.003247
0.000095,1.929400,0.002794
0.000071,1.924700,0.002402
0.000052,1.920200,0.002063
0.000039,1.915800,0.001770
0.000029,1.911600,0.001517
0.000021,1.907600,0.001300
0.000016,1.903700,0.001113
0.000011,1.899900,0.000952
0.000008,1.896200,0.000813
0.000006,1.892700,0.000695
0.000004,1.889200,0.000593
0.000003,1.885900,0.000506
0.000002,1.882700,0.000431
0.000002,1.879600,0.000367
0.000001,1.876500,0.000313
0.000001,1.873600,0.000266
0.000001,1.870700,0.000226
0.000000,1.867900,0.000193
0.000000,1.865200,0.000164
0.000000,1.862600,0.000139
0.000000,1.860000,0.000118
0.000000,1.857500,0.000100
0.000000,1.855100,0.000085
0.000000,1.852700,0.000072
0.000000,1.850400,0.000061
0.000000,1.848100,0.000052
0.000000,1.845900,0.000044
0.000000,1.843700,0.000037
0.000000,1.841600,0.000031
0.000000,1.839600,0.000027
0.000000,1.837500,0.000023
0.000000,1.835600,0.000019
0.000000,1.833600,0.000016
0.000000,1.831700,0.000014
0.000000,1.829900,0.000012
0.000000,1.828100,0.000010
0.000000,1.826300,0.000008
0.000000,1.824500,0.000007
0.000000,1.822800,0.000006
0.000000,1.821100,0.000005
0.000000,1.819500,0.000004
0.000000,1.817900,0.000004
0.000000,1.816300,0.000003
0.000000,1.814800,0.000003
0.000000,1.813200,0.000002
0.000000,1.811700,0.000002
0.000000,1.810300,0.000002
0.000000,1.808800,0.000001
0.000000,1.807400,0.000001
0.000000,1.806000,0.000001
0.000000,1.804600,0.000001
0.000000,1.803300,0.000001
0.000000,1.801900,0.000001
0.000000,1.800600,0.000000
0.000000,1.799400,0.000000
0.000000,1.798100,0.000000
0.000000,1.796900,0.000000
0.000000,1.795600,0.000000
0.000000,1.794400,0.000000
0.000000,1.793300,0.000000
0.000000,1.792100,0.000000
0.000000,1.790900,0.000000
0.000000,1.789800,0.000000
0.000000,1.788700,0.000000
0.000000,1.787600,0.000000
0.000000,1.786500,0.000000
0.000000,1.785500,0.000000
0.000000,1.784400,0.000000
0.000000,1.783400,0.000000
0.000000,1.782400,0.000000
0.000000,1.781400,0.000000
0.000000,1.780400,0.000000
0.000000,1.779400,0.000000
0.000000,1.778400,0.000000
0.000000,1.777500,0.000000
0.000000,1.776600,0.000000
0.000000,1.775600,0.000000
0.000000,1.774700,0.000000
0.000000,1.773800,0.000000
0.000000,1.772900,0.000000
0.000000,1.772100,0.000000
0.000000,1.771200,0.000000
0.000000,1.770400,0.000000
0.000000,1.769500,0.000000
0.000000,1.768700,0.000000
0.000000,1.767900,0.000000
0.000000,1.767100,0.000000
0.000000,1.766300,0.000000
0.000000,1.765500,0.000000
0.000000,1.764700,0.000000
0.000000,1.763900,0.000000
0.000000,1.763200,0.000000
0.000000,1.762400,0.000000
0.000000,1.761700,0.000000
0.000000,1.761000,0.000000
0.000000,1.760200,0.000000
0.000000,1.759500,0.000000
0.000000,1.758800,0.000000
0.000000,1.758100,0.000000
0.000000,1.757400,0.000000
0.000000,1.756800,0.000000
0.000000,1.756100,0.000000
0.000000,1.755400,0.000000
0.000000,1.754800,0.000000
0.000000,1.754100,0.000000
0.000000,1.753500,0.000000
0.000000,1.752800,0.000000
0.000000,1.752200,0.000000
0.000000,1.751600,0.000000
0.000000,1.751000,0.000000
0.000000,1.750400,0.000000
0.000000,1.749800,0.000000
0.000000,1.749200,0.000000
0.000000,1.748600,0.000000
0.000000,1.748000,0.000000
0.000000,1.747500,0.000000
0.000000,1.746900,0.000000
