wavelength_nm,n,k
300,2.265040,0.093470
301,2.265290,0.090860
302,2.265540,0.088250
303,2.265790,0.085630
304,2.266040,0.083020
305,2.266290,0.080410
306,2.265820,0.077800
307,2.265350,0.075190
308,2.264870,0.072580
309,2.264400,0.069970
310,2.263930,0.067360
311,2.263760,0.064740
312,2.263590,0.062130
313,2.263430,0.059520
314,2.263260,0.056910
315,2.263090,0.054300
316,2.261080,0.052410
317,2.259070,0.050510
318,2.257060,0.048620
319,2.255050,0.046730
320,2.253030,0.044830
321,2.249940,0.043180
322,2.246840,0.041520
323,2.243750,0.039860
324,2.240660,0.038200
325,2.237560,0.036540
326,2.234410,0.035210
327,2.231250,0.033880
328,2.228090,0.032550
329,2.224940,0.031220
330,2.221780,0.029890
331,2.218800,0.028730
332,2.215830,0.027570
333,2.212850,0.026410
334,2.209870,0.025250
335,2.206890,0.024090
336,2.203980,0.023140
337,2.201060,0.022190
338,2.198150,0.021240
339,2.195240,0.020290
340,2.192320,0.019350
341,2.189660,0.018650
342,2.186990,0.017950
343,2.184330,0.017250
344,2.181660,0.016550
345,2.178990,0.015850
346,2.176390,0.015270
347,2.173790,0.014680
348,2.171180,0.014100
349,2.168580,0.013510
350,2.165980,0.012930
351,2.163780,0.012420
352,2.161580,0.011920
353,2.159380,0.011410
354,2.157180,0.010910
355,2.154990,0.010400
356,2.152700,0.010010
357,2.150420,0.009610
358,2.148130,0.009220
359,2.145850,0.008820
360,2.143560,0.008430
361,2.141610,0.008080
362,2.139660,0.007740
363,2.137710,0.007400
364,2.135760,0.007060
365,2.133810,0.006720
366,2.132050,0.006400
367,2.130300,0.006080
368,2.128550,0.005770
369,2.126790,0.005450
370,2.125040,0.005140
371,2.123220,0.004860
372,2.121400,0.004580
373,2.119580,0.004300
374,2.117750,0.004020
375,2.115930,0.003740
376,2.113990,0.003510
377,2.112050,0.003280
378,2.110100,0.003040
379,2.108160,0.002810
380,2.106220,0.002580
381,2.104590,0.002450
382,2.102960,0.002330
383,2.101330,0.002200
384,2.099700,0.002080
385,2.098070,0.001950
386,2.096410,0.001850
387,2.094750,0.001750
388,2.093100,0.001650
389,2.091440,0.001550
390,2.089780,0.001450
391,2.088240,0.001330
392,2.086700,0.001210
393,2.085150,0.001090
394,2.083610,0.000965
395,2.082060,0.000844
396,2.080730,0.000771
397,2.079390,0.000698
398,2.078060,0.000625
399,2.076720,0.000552
400,2.075380,0.000479
401,2.074120,0.000435
402,2.072860,0.000391
403,2.071590,0.000347
404,2.070330,0.000303
405,2.069060,0.000260
406,2.067760,0.000232
407,2.066470,0.000205
408,2.065170,0.000177
409,2.063870,0.000150
410,2.062570,0.000122
411,2.061340,0.000103
412,2.060100,0.000085
413,2.058860,0.000066
414,2.057630,0.000047
415,2.056390,0.000029
416,2.055240,0.000024
417,2.054080,0.000018
418,2.052930,0.000013
419,2.051780,0.000008
420,2.050620,0.000003
421,2.049430,0.000012
422,2.048240,0.000020
423,2.047040,0.000029
424,2.045850,0.000037
425,2.044650,0.000046
426,2.043590,0.000059
427,2.042530,0.000072
428,2.041470,0.000084
429,2.040410,0.000097
430,2.039350,0.000110
431,2.038280,0.000124
432,2.037210,0.000137
433,2.036130,0.000151
434,2.035060,0.000164
435,2.033990,0.000178
436,2.033000,0.000201
437,2.032010,0.000224
438,2.031020,0.000248
439,2.030040,0.000271
440,2.029050,0.000294
441,2.028010,0.000317
442,2.026970,0.000340
443,2.025930,0.000362
444,2.024890,0.000385
445,2.023850,0.000408
446,2.022940,0.000422
447,2.022040,0.000437
448,2.021130,0.000452
449,2.020220,0.000466
450,2.019310,0.000481
451,2.018430,0.000509
452,2.017550,0.000537
453,2.016670,0.000565
454,2.015780,0.000592
455,2.014900,0.000620
456,2.014130,0.000642
457,2.013350,0.000663
458,2.012570,0.000684
459,2.011800,0.000705
460,2.011020,0.000726
461,2.010140,0.000750
462,2.009260,0.000774
463,2.008380,0.000799
464,2.007500,0.000823
465,2.006620,0.000847
466,2.005860,0.000886
467,2.005100,0.000924
468,2.004350,0.000963
469,2.003590,0.001000
470,2.002840,0.001040
471,2.001930,0.001080
472,2.001020,0.001130
473,2.000110,0.001170
474,1.999210,0.001210
475,1.998300,0.001260
476,1.997390,0.001290
477,1.996480,0.001320
478,1.995570,0.001350
479,1.994660,0.001390
480,1.993750,0.001420
481,1.992820,0.001450
482,1.991890,0.001480
483,1.990960,0.001520
484,1.990030,0.001550
485,1.989100,0.001580
486,1.988290,0.001620
487,1.987480,0.001660
488,1.986680,0.001690
489,1.985870,0.001730
490,1.985060,0.001770
491,1.984170,0.001810
492,1.983280,0.001850
493,1.982390,0.001890
494,1.981500,0.001920
495,1.980610,0.001960
496,1.979800,0.002000
497,1.979000,0.002050
498,1.978190,0.002090
499,1.977390,0.002130
500,1.976580,0.002170
501,1.975810,0.002200
502,1.975040,0.002230
503,1.974260,0.002270
504,1.973490,0.002300
505,1.972720,0.002340
506,1.971980,0.002380
507,1.971250,0.002430
508,1.970520,0.002470
509,1.969790,0.002520
510,1.969050,0.002560
511,1.968230,0.002620
512,1.967410,0.002670
513,1.966590,0.002720
514,1.965760,0.002770
515,1.964940,0.002820
516,1.964120,0.002860
517,1.963310,0.002890
518,1.962490,0.002920
