wavelength_nm,n,k
300,1.821500,0.061733
301,1.836400,0.055770
302,1.827100,0.060060
303,1.832500,0.056844
304,1.810800,0.059329
305,1.798400,0.061546
306,1.814800,0.054273
307,1.773700,0.066384
308,1.800000,0.061050
309,1.799600,0.058243
310,1.802300,0.050191
311,1.794900,0.067273
312,1.787800,0.047169
313,1.775300,0.051877
314,1.774800,0.052315
315,1.764100,0.065340
316,1.775800,0.065255
317,1.761700,0.071613
318,1.759300,0.062749
319,1.758600,0.081930
320,1.745500,0.078049
321,1.758300,0.067725
322,1.760400,0.067432
323,1.751100,0.082067
324,1.769500,0.082473
325,1.726700,0.096776
326,1.766200,0.086967
327,1.745500,0.093248
328,1.779200,0.097980
329,1.766400,0.104570
330,1.741800,0.096744
331,1.738700,0.098184
332,1.737500,0.091864
333,1.749500,0.118960
334,1.742300,0.106920
335,1.737300,0.065716
336,1.735700,0.124000
337,1.744300,0.111540
338,1.754700,0.118460
339,1.750800,0.120180
340,1.723300,0.117930
341,1.740100,0.120890
342,1.745900,0.112190
343,1.745600,0.118470
344,1.747000,0.111730
345,1.746900,0.117510
346,1.743300,0.114330
347,1.748000,0.115000
348,1.744300,0.117840
349,1.748300,0.116540
350,1.748500,0.118830
351,1.741800,0.119170
352,1.750700,0.122410
353,1.757800,0.119350
354,1.759800,0.120200
355,1.763200,0.120460
356,1.766500,0.125250
357,1.776000,0.122970
358,1.777300,0.122670
359,1.769800,0.118240
360,1.774200,0.121330
361,1.766400,0.124920
362,1.772500,0.121780
363,1.789800,0.123210
364,1.784200,0.121650
365,1.819200,0.131730
366,1.765800,0.118890
367,1.774900,0.111950
368,1.773400,0.116520
369,1.790800,0.112470
370,1.778900,0.112190
371,1.773400,0.107880
372,1.792700,0.108100
373,1.784600,0.105320
374,1.793000,0.107730
375,1.793300,0.103530
376,1.793200,0.099450
377,1.802200,0.096601
378,1.807000,0.093365
379,1.790700,0.094673
380,1.786200,0.098127
381,1.794500,0.089302
382,1.805700,0.086463
383,1.805100,0.083897
384,1.798600,0.084159
385,1.809000,0.079022
386,1.805800,0.077088
387,1.801900,0.073759
388,1.808200,0.069518
389,1.809500,0.066018
390,1.807400,0.062601
391,1.809700,0.059590
392,1.806700,0.057495
393,1.805000,0.055496
394,1.806900,0.052364
395,1.805900,0.047525
396,1.802600,0.045312
397,1.798800,0.043630
398,1.802300,0.041082
399,1.801800,0.037004
400,1.800300,0.033529
401,1.791400,0.032820
402,1.790300,0.028905
