wavelength_nm,n,k
300,2.075510,0.403350
305,2.035820,0.380420
310,1.996120,0.360550
315,1.979380,0.364470
320,1.971570,0.380690
325,1.967700,0.398350
330,1.984650,0.408640
335,2.001610,0.402980
340,2.019790,0.386250
345,2.038390,0.361790
350,2.050240,0.330230
355,2.047900,0.303030
360,2.045560,0.276890
365,2.037120,0.251760
370,2.026790,0.229800
375,2.015030,0.212140
380,2.000550,0.199550
385,1.986080,0.190690
390,1.973440,0.184480
395,1.960940,0.179830
400,1.949230,0.176850
405,1.938890,0.175000
410,1.928550,0.174000
415,1.921350,0.174000
420,1.914320,0.175000
425,1.908160,0.177000
430,1.902790,0.178680
435,1.897570,0.182000
440,1.893670,0.185980
445,1.889760,0.188630
450,1.888230,0.193280
455,1.888640,0.197920
460,1.889490,0.202900
465,1.893210,0.208550
470,1.896930,0.212600
475,1.903010,0.216840
480,1.910040,0.220820
485,1.917380,0.223230
490,1.926480,0.225000
495,1.935580,0.224340
500,1.947400,0.223130
505,1.960220,0.220610
510,1.973190,0.215970
515,1.986470,0.209480
520,1.999740,0.201680
525,2.012360,0.192230
530,2.024770,0.178670
535,2.034250,0.162600
540,2.037970,0.142680
545,2.041690,0.122100
550,2.037440,0.103080
555,2.032480,0.085450
560,2.026290,0.071510
565,2.018870,0.059710
570,2.011450,0.052210
575,2.003620,0.045840
580,1.995760,0.041290
585,1.988120,0.036970
590,1.980680,0.034290
595,1.973360,0.031660
600,1.967110,0.029330
605,1.960860,0.027010
610,1.955530,0.025000
615,1.950990,0.024000
620,1.946440,0.023370
625,1.941890,0.022050
630,1.937340,0.021790
635,1.932690,0.020740
640,1.928010,0.020000
645,1.923520,0.019090
650,1.920210,0.018000
655,1.916910,0.018000
660,1.914200,0.017000
665,1.911720,0.016000
670,1.909280,0.016000
675,1.906930,0.015000
680,1.904590,0.014000
685,1.902450,0.014000
690,1.900390,0.013140
695,1.898180,0.013000
700,1.895700,0.012530
705,1.893220,0.012000
710,1.891120,0.011000
715,1.889050,0.011000
720,1.887040,0.010000
725,1.885090,0.009250
730,1.883130,0.009000
735,1.881460,0.008940
740,1.879800,0.008000
745,1.878150,0.007000
750,1.876500,0.007000
755,1.874890,0.006980
760,1.873720,0.006000
765,1.872550,0.005000
770,1.871120,0.005000
775,1.869460,0.005000
780,1.867860,0.005000
785,1.866620,0.005000
790,1.865370,0.005000
795,1.864180,0.005000
800,1.863010,0.005000
805,1.861890,0.004000
810,1.861060,0.004000
815,1.860230,0.004000
820,1.858810,0.004000
825,1.857160,0.004000
830,1.855770,0.004000
835,1.854980,0.004000
840,1.854200,0.004000
845,1.853080,0.004000
850,1.851840,0.004000
855,1.850600,0.004000
860,1.849360,0.004000
865,1.848120,0.004000
870,1.847250,0.004000
875,1.846430,0.004000
880,1.845620,0.004000
885,1.844840,0.004000
890,1.844060,0.004000
895,1.843280,0.004000
900,1.842500,0.004000
