wavelength_nm,n,k
301.650000,1.750000,0.075041
303.300000,1.750000,0.077294
304.950000,1.750000,0.080210
306.590000,1.750000,0.083540
308.240000,1.750000,0.087057
309.890000,1.750000,0.090606
311.540000,1.750000,0.094105
313.190000,1.750000,0.097520
314.840000,1.750000,0.100830
316.480000,1.750000,0.103980
318.130000,1.750000,0.106910
319.780000,1.750000,0.109530
321.430000,1.750000,0.111810
323.080000,1.750000,0.113830
324.730000,1.750000,0.115720
326.370000,1.750000,0.117620
328.020000,1.750000,0.119560
329.670000,1.750000,0.121460
331.320000,1.750000,0.123150
332.970000,1.750000,0.124480
334.620000,1.750000,0.125380
336.260000,1.750000,0.125900
337.910000,1.750000,0.126180
339.560000,1.750000,0.126370
341.210000,1.750000,0.126550
342.860000,1.750000,0.126730
344.510000,1.750000,0.126900
346.150000,1.750000,0.126990
347.800000,1.750000,0.126960
349.450000,1.750000,0.126800
351.100000,1.750000,0.126510
352.750000,1.750000,0.126090
354.400000,1.750000,0.125580
356.040000,1.750000,0.125010
357.690000,1.750000,0.124420
359.340000,1.750000,0.123830
360.990000,1.750000,0.123250
362.640000,1.750000,0.122680
364.290000,1.750000,0.122170
365.930000,1.750000,0.121770
367.580000,1.750000,0.121570
369.230000,1.750000,0.121600
370.880000,1.750000,0.121870
372.530000,1.750000,0.122390
374.180000,1.750000,0.123170
375.820000,1.750000,0.124290
377.470000,1.750000,0.125810
379.120000,1.750000,0.127760
380.770000,1.750000,0.130050
382.420000,1.750000,0.132590
384.070000,1.750000,0.135250
385.710000,1.750000,0.138040
387.360000,1.750000,0.141060
389.010000,1.750000,0.144420
390.660000,1.750000,0.148190
392.310000,1.750000,0.152300
393.960000,1.750000,0.156630
395.600000,1.750000,0.161080
397.250000,1.750000,0.165630
398.900000,1.750000,0.170330
400.550000,1.750000,0.175290
402.200000,1.750000,0.180590
403.850000,1.750000,0.186230
405.490000,1.750000,0.192170
407.140000,1.750000,0.198420
408.790000,1.750000,0.205030
410.440000,1.750000,0.212030
412.090000,1.750000,0.219440
413.740000,1.750000,0.227170
415.380000,1.750000,0.235070
417.030000,1.750000,0.242950
418.680000,1.750000,0.250720
420.330000,1.750000,0.258450
421.980000,1.750000,0.266390
423.630000,1.750000,0.274890
425.270000,1.750000,0.284180
426.920000,1.750000,0.294320
428.570000,1.750000,0.305190
430.220000,1.750000,0.316630
431.870000,1.750000,0.328480
433.520000,1.750000,0.340730
435.160000,1.750000,0.353400
436.810000,1.750000,0.366490
438.460000,1.750000,0.379910
440.110000,1.750000,0.393530
441.760000,1.750000,0.407250
443.410000,1.750000,0.421040
445.050000,1.750000,0.434900
446.700000,1.750000,0.448810
448.350000,1.750000,0.462670
450.000000,1.750000,0.476310
451.650000,1.750000,0.489630
453.300000,1.750000,0.502620
454.950000,1.750000,0.515360
456.590000,1.750000,0.527990
458.240000,1.750000,0.540610
459.890000,1.750000,0.553290
461.540000,1.750000,0.565990
463.190000,1.750000,0.578660
464.840000,1.750000,0.591220
466.480000,1.750000,0.603600
468.130000,1.750000,0.615720
469.780000,1.750000,0.627550
471.430000,1.750000,0.639100
473.080000,1.750000,0.650430
474.730000,1.750000,0.661620
476.370000,1.750000,0.672730
478.020000,1.750000,0.683730
479.670000,1.750000,0.694510
481.320000,1.750000,0.704920
482.970000,1.750000,0.714770
484.620000,1.750000,0.723940
486.260000,1.750000,0.732370
487.910000,1.750000,0.740000
489.560000,1.750000,0.746810
491.210000,1.750000,0.752800
492.860000,1.750000,0.758050
494.510000,1.750000,0.762610
496.150000,1.750000,0.766550
497.800000,1.750000,0.769780
499.450000,1.750000,0.772220
501.100000,1.750000,0.773760
502.750000,1.750000,0.774410
504.400000,1.750000,0.774230
506.040000,1.750000,0.773360
507.690000,1.750000,0.771900
509.340000,1.750000,0.769880
510.990000,1.750000,0.767210
512.640000,1.750000,0.763820
514.290000,1.750000,0.759700
515.930000,1.750000,0.754880
517.580000,1.750000,0.749350
519.230000,1.750000,0.743080
520.880000,1.750000,0.736030
522.530000,1.750000,0.728160
524.180000,1.750000,0.719450
525.820000,1.750000,0.709910
527.470000,1.750000,0.699520
529.120000,1.750000,0.688260
530.770000,1.750000,0.676110
532.420000,1.750000,0.663110
534.070000,1.750000,0.649360
535.710000,1.750000,0.635060
537.360000,1.750000,0.620420
539.010000,1.750000,0.605610
540.660000,1.750000,0.590750
542.310000,1.750000,0.575800
543.960000,1.750000,0.560650
545.600000,1.750000,0.545060
547.250000,1.750000,0.528730
548.900000,1.750000,0.511270
550.550000,1.750000,0.492240
552.200000,1.750000,0.471290
553.850000,1.750000,0.448190
555.490000,1.750000,0.423050
557.140000,1.750000,0.396280
558.790000,1.750000,0.368530
560.440000,1.750000,0.340450
562.090000,1.750000,0.312590
563.740000,1.750000,0.285250
565.380000,1.750000,0.258580
567.030000,1.750000,0.232720
568.680000,1.750000,0.207840
570.330000,1.750000,0.184200
571.980000,1.750000,0.162110
573.630000,1.750000,0.141840
575.270000,1.750000,0.123550
576.920000,1.750000,0.107320
578.570000,1.750000,0.093077
580.220000,1.750000,0.080680
581.870000,1.750000,0.069933
583.520000,1.750000,0.060687
585.160000,1.750000,0.052818
586.810000,1.750000,0.046250
588.460000,1.750000,0.040873
590.110000,1.750000,0.036561
591.760000,1.750000,0.033122
593.410000,1.750000,0.030359
595.050000,1.750000,0.028051
596.700000,1.750000,0.026014
598.350000,1.750000,0.024079
600.000000,1.750000,0.022173
601.650000,1.750000,0.020316
603.300000,1.750000,0.018626
604.950000,1.750000,0.017221
606.590000,1.750000,0.016159
608.240000,1.750000,0.015367
609.890000,1.750000,0.014696
611.540000,1.750000,0.013991
613.190000,1.750000,0.013192
614.840000,1.750000,0.012347
616.480000,1.750000,0.011572
618.130000,1.750000,0.010959
619.780000,1.750000,0.010510
621.430000,1.750000,0.010115
623.080000,1.750000,0.009618
624.730000,1.750000,0.008907
626.370000,1.750000,0.008006
628.020000,1.750000,0.007084
629.670000,1.750000,0.006373
631.320000,1.750000,0.006029
632.970000,1.750000,0.006026
634.620000,1.750000,0.006175
