wavelength_nm,n,k
351.210000,3.060000,3.220000
353.710000,3.060000,3.210000
356.260000,3.060000,3.200000
358.840000,3.060000,3.200000
361.460000,3.060000,3.190000
364.120000,3.060000,3.190000
366.820000,3.060000,3.190000
369.550000,3.060000,3.180000
372.330000,3.060000,3.180000
375.150000,3.060000,3.180000
378.020000,3.060000,3.180000
380.920000,3.060000,3.180000
383.880000,3.050000,3.180000
386.880000,3.050000,3.180000
389.920000,3.040000,3.190000
393.020000,3.040000,3.200000
396.160000,3.030000,3.210000
399.360000,3.030000,3.220000
402.600000,3.030000,3.230000
405.900000,3.030000,3.240000
409.260000,3.040000,3.260000
412.670000,3.040000,3.270000
416.130000,3.040000,3.280000
419.660000,3.040000,3.300000
423.250000,3.050000,3.310000
426.900000,3.050000,3.330000
430.610000,3.060000,3.350000
434.390000,3.060000,3.370000
438.230000,3.070000,3.400000
442.140000,3.080000,3.420000
446.130000,3.090000,3.440000
450.180000,3.100000,3.460000
454.310000,3.120000,3.490000
458.520000,3.130000,3.510000
462.800000,3.150000,3.530000
467.170000,3.170000,3.560000
471.620000,3.190000,3.580000
476.150000,3.220000,3.610000
480.780000,3.250000,3.640000
485.490000,3.280000,3.670000
490.300000,3.320000,3.700000
495.200000,3.360000,3.730000
500.200000,3.410000,3.760000
505.310000,3.470000,3.770000
510.520000,3.530000,3.780000
515.830000,3.590000,3.780000
521.260000,3.650000,3.750000
526.810000,3.710000,3.710000
532.470000,3.750000,3.660000
538.260000,3.790000,3.610000
544.180000,3.800000,3.550000
550.220000,3.790000,3.500000
556.400000,3.780000,3.450000
562.730000,3.760000,3.410000
569.200000,3.740000,3.410000
575.810000,3.720000,3.410000
582.590000,3.700000,3.430000
589.520000,3.680000,3.450000
596.630000,3.670000,3.470000
603.900000,3.670000,3.480000
611.360000,3.670000,3.500000
619.000000,3.680000,3.520000
626.840000,3.690000,3.540000
634.870000,3.710000,3.550000
643.120000,3.720000,3.570000
651.580000,3.740000,3.580000
660.270000,3.760000,3.590000
669.190000,3.780000,3.590000
678.360000,3.790000,3.590000
687.780000,3.810000,3.580000
697.470000,3.820000,3.570000
707.430000,3.830000,3.550000
717.680000,3.840000,3.530000
728.240000,3.840000,3.510000
739.100000,3.840000,3.490000
750.300000,3.820000,3.460000
761.850000,3.800000,3.440000
773.750000,3.770000,3.410000
786.030000,3.730000,3.380000
798.710000,3.670000,3.340000
811.800000,3.600000,3.320000
825.330000,3.530000,3.300000
839.320000,3.440000,3.300000
853.790000,3.350000,3.320000
868.770000,3.250000,3.350000
884.290000,3.150000,3.400000
900.360000,3.050000,3.470000
917.040000,2.960000,3.550000
934.340000,2.860000,3.640000
952.310000,2.770000,3.740000
970.980000,2.680000,3.850000
990.400000,2.600000,3.960000
1010.610000,2.520000,4.090000
1031.670000,2.440000,4.220000
1053.620000,2.370000,4.370000
1076.520000,2.290000,4.520000
1100.440000,2.230000,4.680000
1125.460000,2.160000,4.850000
1151.630000,2.100000,5.030000
1179.050000,2.040000,5.210000
1207.810000,1.990000,5.390000
1238.000000,1.940000,5.580000
1269.740000,1.890000,5.780000
1303.160000,1.830000,6.000000
1338.380000,1.780000,6.230000
1375.560000,1.740000,6.480000
1414.860000,1.720000,6.740000
1456.470000,1.690000,7.010000
1500.610000,1.650000,7.290000
1547.500000,1.620000,7.580000
1597.420000,1.590000,7.900000
1650.670000,1.540000,8.240000
1707.590000,1.500000,8.600000
1768.570000,1.480000,8.990000
1834.070000,1.450000,9.410000
1904.620000,1.420000,9.840000
1980.800000,1.390000,10.300000
2063.330000,1.360000,10.830000
2153.040000,1.340000,11.430000
2250.910000,1.350000,12.120000
2358.100000,1.360000,12.820000
2476.000000,1.370000,13.500000
