wavelength_nm,n,k
400.920000,2.084400,0
402.510000,2.082900,0
404.090000,2.081400,0
405.680000,2.079900,0
407.260000,2.078400,0
408.850000,2.076900,0
410.440000,2.075500,0
412.020000,2.074100,0
413.610000,2.072600,0
415.200000,2.071300,0
416.780000,2.069900,0
418.370000,2.068500,0
419.950000,2.067200,0
421.540000,2.065800,0
423.130000,2.064500,0
424.710000,2.063200,0
426.300000,2.061900,0
427.890000,2.060700,0
429.470000,2.059400,0
431.060000,2.058200,0
432.640000,2.056900,0
434.230000,2.055700,0
435.820000,2.054500,0
437.400000,2.053300,0
438.990000,2.052100,0
440.570000,2.051000,0
442.160000,2.049800,0
443.750000,2.048700,0
445.330000,2.047500,0
446.920000,2.046400,0
448.500000,2.045300,0
450.090000,2.044200,0
451.670000,2.043100,0
453.260000,2.042100,0
454.850000,2.041000,0
456.430000,2.040000,0
458.020000,2.038900,0
459.600000,2.037900,0
461.190000,2.036900,0
462.770000,2.035900,0
464.360000,2.034900,0
465.950000,2.033900,0
467.530000,2.032900,0
469.120000,2.032000,0
470.700000,2.031000,0
472.290000,2.030100,0
473.870000,2.029100,0
475.460000,2.028200,0
477.040000,2.027300,0
478.630000,2.026400,0
480.210000,2.025500,0
481.800000,2.024600,0
483.390000,2.023700,0
484.970000,2.022800,0
486.560000,2.022000,0
488.140000,2.021100,0
489.730000,2.020300,0
491.310000,2.019400,0
492.900000,2.018600,0
494.480000,2.017800,0
496.070000,2.016900,0
497.650000,2.016100,0
499.240000,2.015300,0
500.820000,2.014500,0
502.410000,2.013800,0
503.990000,2.013000,0
505.580000,2.012200,0
507.160000,2.011400,0
508.750000,2.010700,0
510.330000,2.009900,0
511.910000,2.009200,0
513.500000,2.008500,0
515.080000,2.007700,0
516.670000,2.007000,0
518.250000,2.006300,0
519.840000,2.005600,0
521.420000,2.004900,0
523.010000,2.004200,0
524.590000,2.003500,0
526.180000,2.002800,0
527.760000,2.002100,0
529.340000,2.001500,0
530.930000,2.000800,0
532.510000,2.000100,0
534.100000,1.999500,0
535.680000,1.998800,0
537.260000,1.998200,0
538.850000,1.997600,0
540.430000,1.996900,0
542.020000,1.996300,0
543.600000,1.995700,0
545.180000,1.995100,0
546.770000,1.994500,0
548.350000,1.993900,0
549.940000,1.993300,0
551.520000,1.992700,0
553.100000,1.992100,0
554.690000,1.991500,0
556.270000,1.990900,0
557.850000,1.990400,0
559.440000,1.989800,0
561.020000,1.989200,0
562.600000,1.988700,0
564.190000,1.988100,0
565.770000,1.987600,0
567.350000,1.987000,0
568.940000,1.986500,0
570.520000,1.985900,0
572.100000,1.985400,0
573.690000,1.984900,0
575.270000,1.984400,0
576.850000,1.983900,0
578.430000,1.983300,0
580.020000,1.982800,0
581.600000,1.982300,0
583.180000,1.981800,0
584.770000,1.981300,0
586.350000,1.980800,0
587.930000,1.980300,0
589.510000,1.979900,0
591.090000,1.979400,0
592.680000,1.978900,0
594.260000,1.978400,0
595.840000,1.978000,0
597.420000,1.977500,0
599.010000,1.977000,0
600.590000,1.976600,0
602.170000,1.976100,0
603.750000,1.975700,0
605.330000,1.975200,0
606.920000,1.974800,0
608.500000,1.974300,0
610.080000,1.973900,0
611.660000,1.973500,0
613.240000,1.973000,0
614.820000,1.972600,0
616.410000,1.972200,0
617.990000,1.971800,0
619.570000,1.971300,0
621.150000,1.970900,0
622.730000,1.970500,0
624.310000,1.970100,0
625.890000,1.969700,0
627.470000,1.969300,0
629.060000,1.968900,0
630.640000,1.968500,0
632.220000,1.968100,0
633.800000,1.967700,0
635.380000,1.967300,0
636.960000,1.967000,0
638.540000,1.966600,0
640.120000,1.966200,0
641.700000,1.965800,0
643.280000,1.965400,0
644.860000,1.965100,0
646.440000,1.964700,0
648.020000,1.964300,0
649.600000,1.964000,0
651.180000,1.963600,0
652.760000,1.963300,0
654.340000,1.962900,0
655.920000,1.962600,0
657.500000,1.962200,0
659.080000,1.961900,0
660.660000,1.961500,0
662.240000,1.961200,0
663.820000,1.960800,0
665.400000,1.960500,0
666.980000,1.960200,0
668.560000,1.959800,0
670.140000,1.959500,0
671.720000,1.959200,0
673.300000,1.958900,0
674.880000,1.958500,0
676.450000,1.958200,0
678.030000,1.957900,0
679.610000,1.957600,0
681.190000,1.957300,0
682.770000,1.957000,0
684.350000,1.956700,0
685.930000,1.956300,0
687.510000,1.956000,0
689.080000,1.955700,0
690.660000,1.955400,0
692.240000,1.955100,0
693.820000,1.954800,0
695.400000,1.954500,0
696.970000,1.954300,0
698.550000,1.954000,0
700.130000,1.953700,0
