wavelength_nm,n,k
400.920000,2.184300,0.088104
402.510000,2.175500,0.078668
404.090000,2.166500,0.070032
405.680000,2.157400,0.062159
407.260000,2.148400,0.055012
408.850000,2.139500,0.048549
410.440000,2.130600,0.042728
412.020000,2.121900,0.037503
413.610000,2.113400,0.032832
415.200000,2.105100,0.028669
416.780000,2.097000,0.024972
418.370000,2.089200,0.021701
419.950000,2.081600,0.018814
421.540000,2.074200,0.016275
423.130000,2.067100,0.014049
424.710000,2.060300,0.012103
426.300000,2.053700,0.010405
427.890000,2.047400,0.008930
429.470000,2.041400,0.007650
431.060000,2.035500,0.006542
432.640000,2.029900,0.005586
434.230000,2.024500,0.004763
435.820000,2.019400,0.004056
437.400000,2.014400,0.003449
438.990000,2.009700,0.002930
440.570000,2.005100,0.002487
442.160000,2.000700,0.002109
443.750000,1.996500,0.001787
445.330000,1.992400,0.001513
446.920000,1.988500,0.001281
448.500000,1.984700,0.001084
450.090000,1.981000,0.000917
451.670000,1.977500,0.000776
453.260000,1.974100,0.000656
454.850000,1.970900,0.000556
456.430000,1.967700,0.000470
458.020000,1.964600,0.000399
459.600000,1.961600,0.000338
461.190000,1.958800,0.000287
462.770000,1.956000,0.000244
464.360000,1.953200,0.000208
465.950000,1.950600,0.000177
467.530000,1.948000,0.000152
469.120000,1.945600,0.000130
470.700000,1.943100,0.000111
472.290000,1.940800,0.000096
473.870000,1.938500,0.000083
475.460000,1.936200,0.000071
477.040000,1.934100,0.000062
478.630000,1.931900,0.000054
480.210000,1.929900,0.000047
481.800000,1.927800,0.000041
483.390000,1.925900,0.000036
484.970000,1.923900,0.000032
486.560000,1.922000,0.000028
488.140000,1.920200,0.000025
489.730000,1.918400,0.000022
491.310000,1.916600,0.000019
492.900000,1.914900,0.000017
494.480000,1.913200,0.000015
496.070000,1.911500,0.000014
497.650000,1.909900,0.000012
499.240000,1.908300,0.000011
500.820000,1.906700,0.000010
502.410000,1.905200,0.000009
503.990000,1.903700,0.000008
505.580000,1.902200,0.000007
507.160000,1.900800,0.000007
508.750000,1.899400,0.000006
510.330000,1.898000,0.000006
511.910000,1.896600,0.000005
513.500000,1.895300,0.000005
515.080000,1.894000,0.000004
516.670000,1.892700,0.000004
518.250000,1.891400,0.000003
519.840000,1.890200,0.000003
521.420000,1.888900,0.000003
523.010000,1.887700,0.000003
524.590000,1.886500,0.000002
526.180000,1.885400,0.000002
527.760000,1.884200,0.000002
529.340000,1.883100,0.000002
530.930000,1.882000,0.000002
532.510000,1.880900,0.000002
534.100000,1.879800,0.000001
