wavelength_nm,n,k
0.008540,1.857500,0.011170
0.008470,1.844500,0.011150
0.008410,1.833000,0.011120
0.008340,1.822800,0.011080
0.008280,1.813500,0.011040
0.008210,1.805200,0.011000
0.008150,1.797500,0.010950
0.008090,1.790600,0.010900
0.008020,1.784200,0.010850
0.007960,1.778300,0.010800
0.007890,1.772900,0.010740
0.007830,1.767800,0.010680
0.007770,1.763100,0.010620
0.007700,1.758700,0.010560
0.007640,1.754600,0.010500
0.007580,1.750800,0.010440
0.007520,1.747100,0.010380
0.007460,1.743700,0.010320
0.007400,1.740500,0.010250
0.007340,1.737400,0.010190
0.007280,1.734600,0.010130
0.007220,1.731800,0.010070
0.007160,1.729200,0.010010
0.007100,1.726700,0.009940
0.007040,1.724400,0.009880
0.006990,1.722100,0.009820
0.006930,1.720000,0.009760
0.006870,1.717900,0.009700
0.006820,1.715900,0.009640
0.006760,1.714000,0.009580
0.006710,1.712200,0.009520
0.006650,1.710400,0.009460
0.006600,1.708800,0.009400
0.006550,1.707100,0.009340
0.006500,1.705600,0.009280
0.006450,1.704100,0.009220
0.006390,1.702600,0.009170
0.006340,1.701200,0.009110
0.006290,1.699800,0.009050
0.006250,1.698500,0.009000
0.006200,1.697300,0.008940
0.006150,1.696000,0.008890
0.006100,1.694800,0.008830
0.006050,1.693700,0.008780
0.006010,1.692500,0.008730
0.005960,1.691500,0.008670
0.005920,1.690400,0.008620
0.005870,1.689400,0.008570
0.005830,1.688400,0.008520
0.005780,1.687400,0.008470
0.005740,1.686400,0.008420
0.005700,1.685500,0.008370
0.005650,1.684600,0.008320
0.005610,1.683700,0.008270
0.005570,1.682900,0.008220
0.005530,1.682000,0.008170
0.005490,1.681200,0.008120
0.005450,1.680400,0.008080
0.005410,1.679700,0.008030
0.005370,1.678900,0.007990
0.005330,1.678200,0.007940
0.005290,1.677400,0.007890
0.005250,1.676700,0.007850
0.005220,1.676000,0.007810
0.005180,1.675400,0.007760
0.005140,1.674700,0.007720
0.005110,1.674000,0.007670
0.005070,1.673400,0.007630
0.005030,1.672800,0.007590
0.005000,1.672200,0.007550
0.004960,1.671600,0.007510
0.004930,1.671000,0.007470
0.004900,1.670400,0.007430
0.004860,1.669900,0.007390
0.004830,1.669300,0.007350
0.004800,1.668800,0.007310
0.004760,1.668200,0.007270
0.004730,1.667700,0.007230
0.004700,1.667200,0.007190
0.004670,1.666700,0.007150
0.004640,1.666200,0.007110
0.004610,1.665700,0.007080
0.004580,1.665200,0.007040
0.004550,1.664800,0.007000
0.004520,1.664300,0.006970
0.004490,1.663800,0.006930
0.004460,1.663400,0.006900
0.004430,1.663000,0.006860
0.004400,1.662500,0.006830
0.004370,1.662100,0.006790
0.004350,1.661700,0.006760
0.004320,1.661300,0.006730
0.004290,1.660900,0.006690
0.004260,1.660500,0.006660
0.004240,1.660100,0.006630
0.004210,1.659700,0.006590
0.004190,1.659300,0.006560
0.004160,1.658900,0.006530
0.004130,1.658600,0.006500
0.004110,1.658200,0.006470
0.004080,1.657800,0.006430
0.004060,1.657500,0.006400
0.004030,1.657100,0.006370
0.004010,1.656800,0.006340
0.003990,1.656500,0.006310
0.003960,1.656100,0.006280
0.003940,1.655800,0.006250
0.003920,1.655500,0.006220
0.003890,1.655200,0.006200
0.003870,1.654800,0.006170
0.003850,1.654500,0.006140
0.003830,1.654200,0.006110
0.003800,1.653900,0.006080
0.003780,1.653600,0.006060
