wavelength_nm,n,k
380,2.098300,0.053700
385,2.074500,0.024900
390,2.048500,0.011600
395,2.005500,0.006400
400,1.946400,0.003000
405,1.896300,0.001300
410,1.878400,0.000300
415,1.871400,0.000000
420,1.864600,0.000000
425,1.858300,0.000000
430,1.850900,0.000000
435,1.845700,0.000000
440,1.840000,0.000000
445,1.835000,0.000000
450,1.831100,0.000000
455,1.827100,0.000000
460,1.821900,0.000000
465,1.818300,0.000000
470,1.816100,0.000000
475,1.812400,0.000000
480,1.809000,0.000000
485,1.807100,0.000000
490,1.805400,0.000000
495,1.801800,0.000000
500,1.800000,0.000000
505,1.797000,0.000000
510,1.795600,0.000000
515,1.792400,0.000000
520,1.791000,0.000000
525,1.788000,0.000000
530,1.785300,0.000000
535,1.778400,0.000000
540,1.774000,0.000000
545,1.769400,0.000000
550,1.764500,0.000000
555,1.761400,0.000000
560,1.757200,0.000000
565,1.755500,0.000000
570,1.753800,0.000000
575,1.752300,0.000000
580,1.750500,0.000000
585,1.748700,0.000000
590,1.747600,0.000000
595,1.746300,0.000000
600,1.744800,0.000000
605,1.745400,0.000000
610,1.744900,0.000000
615,1.744100,0.000000
620,1.742700,0.000000
625,1.742900,0.000000
630,1.741900,0.000000
635,1.740600,0.000000
640,1.740800,0.000000
645,1.740500,0.000000
650,1.739700,0.000000
655,1.739900,0.000000
660,1.740700,0.000000
665,1.739600,0.000000
670,1.739500,0.000000
675,1.739800,0.000000
680,1.738700,0.000000
685,1.738500,0.000000
690,1.739000,0.000000
695,1.738500,0.000000
700,1.738500,0.000000
705,1.739400,0.000000
710,1.739700,0.000000
715,1.739200,0.000000
720,1.738700,0.000000
725,1.737400,0.000000
730,1.737100,0.000000
735,1.737700,0.000000
740,1.737300,0.000000
745,1.737600,0.000000
750,1.737600,0.000000
755,1.737600,0.000000
760,1.737600,0.000000
765,1.737600,0.000000
770,1.737600,0.000000
775,1.737600,0.000000
780,1.737600,0.000000
