wavelength_nm,n,k
380,1.834600,0.497400
385,1.902400,0.503500
390,2.050500,0.467800
395,2.131800,0.372400
400,2.192400,0.232200
405,2.177600,0.114000
410,2.069100,0.043900
415,2.004600,0.022000
420,1.954100,0.014900
425,1.913700,0.012900
430,1.886500,0.012500
435,1.871400,0.012200
440,1.850800,0.011500
445,1.836600,0.011600
450,1.825300,0.012100
455,1.813900,0.012300
460,1.805900,0.013500
465,1.800600,0.014400
470,1.792100,0.015900
475,1.786200,0.016100
480,1.782000,0.017100
485,1.777500,0.018300
490,1.773400,0.018600
495,1.770500,0.018600
500,1.767200,0.019600
505,1.765600,0.019800
510,1.762300,0.019600
515,1.761800,0.018800
520,1.762300,0.017000
525,1.759100,0.016400
530,1.755600,0.008800
535,1.756500,0.013400
540,1.754700,0.011600
545,1.751400,0.010100
550,1.749700,0.009200
555,1.747100,0.007700
560,1.744600,0.005900
565,1.742700,0.004100
570,1.739100,0.002900
575,1.736400,0.002000
580,1.734500,0.001000
585,1.731300,0.001200
590,1.729100,0.000900
595,1.726200,0.000800
600,1.724600,0.000700
605,1.722400,0.000200
610,1.721100,0.000000
615,1.719700,0.000200
620,1.718200,0.000000
625,1.716200,0.000000
630,1.714600,0.000000
635,1.713800,0.000000
640,1.711200,0.000000
645,1.710300,0.000000
650,1.710400,0.000000
655,1.708100,0.000000
660,1.706800,0.000000
665,1.706400,0.000000
670,1.704800,0.000000
675,1.707200,0.000000
680,1.702300,0.000000
685,1.701700,0.000000
690,1.701100,0.000000
695,1.700300,0.000000
700,1.700300,0.000000
705,1.696600,0.000000
710,1.697100,0.000000
715,1.697500,0.000000
720,1.692700,0.000000
725,1.695900,0.000000
730,1.693300,0.000000
735,1.691800,0.000000
740,1.697900,0.000000
745,1.696700,0.000000
750,1.696000,0.000000
755,1.696000,0.000000
760,1.696000,0.000000
765,1.696000,0.000000
770,1.696000,0.000000
775,1.696000,0.000000
780,1.696000,0.000000
