wavelength_nm,n,k
280,1.794573,0.224692
285,1.783813,0.226248
290,1.774423,0.225659
295,1.765588,0.225189
300,1.753766,0.222508
305,1.735365,0.225067
310,1.714860,0.237806
315,1.699041,0.259072
320,1.689822,0.285570
325,1.687601,0.317825
330,1.694090,0.353888
335,1.713108,0.392298
340,1.746682,0.428252
345,1.790042,0.455505
350,1.849612,0.470106
355,1.905145,0.458669
360,1.951315,0.434915
365,1.988222,0.405467
370,2.015914,0.373219
375,2.037624,0.343269
380,2.059858,0.317076
385,2.086881,0.279289
390,2.106619,0.229782
395,2.110918,0.172212
400,2.098238,0.116371
405,2.070351,0.071259
410,2.034788,0.041412
415,2.000839,0.025350
420,1.972833,0.018170
425,1.951488,0.015094
430,1.933994,0.013578
435,1.919037,0.013217
440,1.906595,0.012741
445,1.896791,0.011805
450,1.887973,0.011315
455,1.876653,0.011739
460,1.870217,0.011229
465,1.864109,0.010751
470,1.858311,0.010303
475,1.852802,0.009883
480,1.847566,0.009488
485,1.842586,0.009116
490,1.837848,0.008766
495,1.833336,0.008437
500,1.829038,0.008126
505,1.824941,0.007832
510,1.821034,0.007554
515,1.817307,0.007291
520,1.813749,0.007042
525,1.810352,0.006806
530,1.807105,0.006583
535,1.804002,0.006370
540,1.801034,0.006169
545,1.798195,0.005977
550,1.795477,0.005794
555,1.792874,0.005620
560,1.790381,0.005455
565,1.787991,0.005297
570,1.785699,0.005146
575,1.783502,0.005002
580,1.781393,0.004864
585,1.779368,0.004733
590,1.777424,0.004607
595,1.775556,0.004486
600,1.773761,0.004371
605,1.772036,0.004261
610,1.770376,0.004155
615,1.768780,0.004053
620,1.767243,0.003955
625,1.765764,0.003861
630,1.764339,0.003771
635,1.762967,0.003685
640,1.761644,0.003601
645,1.760369,0.003521
650,1.759140,0.003444
655,1.757954,0.003369
660,1.756809,0.003298
665,1.755705,0.003228
670,1.754639,0.003162
675,1.753609,0.003097
680,1.752614,0.003035
685,1.751653,0.002975
690,1.750724,0.002917
695,1.749825,0.002861
700,1.748957,0.002807
705,1.748116,0.002755
710,1.747303,0.002704
715,1.746516,0.002655
720,1.745754,0.002607
725,1.745016,0.002561
730,1.744301,0.002517
735,1.743609,0.002473
740,1.742937,0.002432
745,1.742287,0.002391
750,1.741656,0.002351
755,1.741045,0.002313
760,1.740451,0.002276
765,1.739876,0.002240
770,1.739317,0.002205
775,1.738775,0.002171
780,1.738248,0.002137
785,1.737737,0.002105
790,1.737241,0.002074
795,1.736758,0.002043
800,1.736289,0.002014
805,1.735834,0.001985
810,1.735391,0.001957
815,1.734960,0.001929
820,1.734542,0.001903
825,1.734134,0.001877
830,1.733738,0.001851
835,1.733353,0.001827
840,1.732977,0.001803
845,1.732612,0.001779
850,1.732256,0.001756
855,1.731910,0.001734
860,1.731573,0.001712
865,1.731244,0.001691
870,1.730924,0.001670
875,1.730612,0.001650
880,1.730308,0.001630
885,1.730012,0.001611
890,1.729723,0.001592
895,1.729441,0.001573
900,1.729166,0.001555
905,1.728898,0.001538
910,1.728636,0.001520
915,1.728381,0.001504
920,1.728132,0.001487
925,1.727889,0.001471
930,1.727652,0.001455
935,1.727420,0.001440
940,1.727194,0.001424
945,1.726973,0.001410
950,1.726757,0.001395
955,1.726546,0.001381
960,1.726340,0.001367
965,1.726139,0.001353
970,1.725942,0.001340
975,1.725749,0.001327
980,1.725561,0.001314
985,1.725377,0.001301
990,1.725198,0.001289
995,1.725022,0.001277
1000,1.724850,0.001265
1005,1.724681,0.001253
1010,1.724517,0.001242
1015,1.724356,0.001231
1020,1.724198,0.001220
1025,1.724043,0.001209
1030,1.723892,0.001198
1035,1.723744,0.001188
1040,1.723600,0.001178
1045,1.723458,0.001168
1050,1.723319,0.001158
1055,1.723183,0.001148
1060,1.723049,0.001139
1065,1.722919,0.001129
1070,1.722791,0.001120
1075,1.722665,0.001111
1080,1.722542,0.001102
1085,1.722422,0.001093
1090,1.722304,0.001085
1095,1.722188,0.001076
1100,1.722074,0.001068
1105,1.721963,0.001060
1110,1.721854,0.001052
1115,1.721747,0.001044
1120,1.721642,0.001036
1125,1.721539,0.001029
1130,1.721437,0.001021
1135,1.721338,0.001014
1140,1.721241,0.001007
1145,1.721145,0.000999
1150,1.721051,0.000992
1155,1.720959,0.000986
1160,1.720869,0.000979
1165,1.720780,0.000972
1170,1.720693,0.000965
1175,1.720607,0.000959
1180,1.720523,0.000952
1185,1.720441,0.000946
1190,1.720360,0.000940
1195,1.720280,0.000934
1200,1.720202,0.000928
1205,1.720125,0.000922
1210,1.720049,0.000916
1215,1.719975,0.000910
1220,1.719902,0.000904
1225,1.719830,0.000899
1230,1.719760,0.000893
1235,1.719690,0.000888
1240,1.719622,0.000883
1245,1.719555,0.000877
1250,1.719489,0.000872
1255,1.719424,0.000867
1260,1.719361,0.000862
1265,1.719298,0.000857
1270,1.719236,0.000852
1275,1.719176,0.000847
1280,1.719116,0.000842
1285,1.719057,0.000837
1290,1.718999,0.000833
1295,1.718942,0.000828
1300,1.718887,0.000823
1305,1.718831,0.000819
1310,1.718777,0.000815
1315,1.718724,0.000810
1320,1.718671,0.000806
1325,1.718620,0.000802
1330,1.718569,0.000797
1335,1.718519,0.000793
1340,1.718469,0.000789
1345,1.718421,0.000785
1350,1.718373,0.000781
1355,1.718326,0.000777
1360,1.718279,0.000773
1365,1.718234,0.000769
1370,1.718188,0.000765
1375,1.718144,0.000762
1380,1.718100,0.000758
1385,1.718057,0.000754
1390,1.718015,0.000751
1395,1.717973,0.000747
1400,1.717932,0.000743
