wavelength_nm,n,k
0,1.752000,0
0,1.745000,0
0,1.731000,0
0,1.723000,0
0,1.707000,0
0,1.713000,0
0,1.708000,0
0,1.703000,0
0,1.698000,0
0,1.696000,0
0,1.693000,0
0,1.690000,0
0,1.685000,0
0,1.675000,0
0,1.683000,0
0,1.680000,0
0,1.677000,0
0,1.675000,0
0,1.664000,0
0,1.664000,0
0,1.670000,0
0,1.657000,0
0,1.659000,0
0,1.665000,0
0,1.650000,0
0,1.655000,0
0,1.660000,0
0,1.657000,0
0,1.655000,0
0,1.655000,0
0,1.654000,0
0,1.650000,0
0,1.649000,0
0,1.648000,0
0,1.650000,0
0,1.648000,0
0,1.647000,0
0,1.645000,0
0,1.645000,0
0,1.645000,0
0,1.645000,0
0,1.642000,0
0,1.641000,0
0,1.640000,0
0,1.640000,0
0,1.640000,0
0,1.640000,0
0,1.637000,0
0,1.637000,0
0,1.637000,0
