wavelength_nm,n,k
380,1.835720,0.152470
390,1.920140,0.134250
400,1.985780,0.105550
410,1.993980,0.066460
420,1.970940,0.034660
430,1.941230,0.015920
440,1.913440,0.007410
450,1.891900,0.004790
460,1.874280,0.004670
470,1.861000,0.004890
480,1.849970,0.005330
490,1.840990,0.004850
500,1.833090,0.004270
510,1.826030,0.004280
520,1.820080,0.003370
530,1.814030,0.003060
540,1.808810,0.002600
550,1.803760,0.001670
560,1.798990,0.001300
570,1.794710,0.000869
580,1.791110,0.000021
590,1.787590,0.000000
600,1.782520,0.000025
610,1.779630,0.000000
620,1.776180,0.000000
630,1.773310,0.000000
640,1.770530,0.000000
650,1.767120,0.000000
660,1.763860,0.000000
670,1.756300,0.002280
680,1.756710,0.000000
690,1.755710,0.000000
700,1.753740,0.000000
710,1.751610,0.000000
720,1.750000,0.000000
730,1.747630,0.000000
740,1.746300,0.000000
750,1.744720,0.000000
760,1.742060,0.000000
770,1.741230,0.000000
780,1.739630,0.000000
790,1.736550,0.000000
800,1.734950,0.000289
810,1.734570,0.000768
820,1.731310,0.000867
830,1.731650,0.000000
840,1.729730,0.000000
850,1.729010,0.000547
860,1.727170,0.001710
870,1.726100,0.001490
880,1.722410,0.003340
890,1.723610,0.001210
900,1.722350,0.002230
910,1.721790,0.001930
920,1.719510,0.001810
930,1.717830,0.000000
940,1.716710,0.004310
950,1.716730,0.003760
960,1.716260,0.004790
970,1.716380,0.005080
980,1.712540,0.007090
990,1.711960,0.006510
1000,1.713690,0.006270
