wavelength_nm,n,k
300,1.544049,1.488633
310,1.531700,1.463975
320,1.500544,1.453529
330,1.459490,1.459963
340,1.415679,1.484856
350,1.373352,1.546836
360,1.339706,1.595251
370,1.313998,1.648503
380,1.294923,1.722364
390,1.281195,1.770239
400,1.271161,1.825379
410,1.265297,1.882865
420,1.262835,1.940168
430,1.263350,1.998495
440,1.265762,2.055802
450,1.270240,2.113732
460,1.276566,2.169401
470,1.284324,2.223274
480,1.293767,2.279896
490,1.304004,2.333198
500,1.315261,2.383882
510,1.325745,2.435393
520,1.337475,2.485960
530,1.348885,2.536848
540,1.360135,2.584769
550,1.371977,2.634374
560,1.383460,2.683461
570,1.396420,2.733537
580,1.408436,2.780336
590,1.423768,2.828688
600,1.437338,2.880755
610,1.451846,2.925569
620,1.466143,2.972063
630,1.481652,3.018889
640,1.498344,3.065590
650,1.515073,3.111678
660,1.532495,3.157002
670,1.550099,3.201149
680,1.568982,3.244931
690,1.587950,3.288650
700,1.607180,3.330661
710,1.626211,3.371434
720,1.646342,3.411608
730,1.665015,3.451753
740,1.684681,3.488732
750,1.704517,3.526955
760,1.722204,3.562102
770,1.741069,3.595120
780,1.759959,3.631892
790,1.778163,3.666397
800,1.794187,3.700150
810,1.811871,3.732111
820,1.829604,3.763883
830,1.845028,3.794861
840,1.858772,3.828084
850,1.872442,3.857881
860,1.886748,3.888817
870,1.900406,3.921151
880,1.913133,3.952391
890,1.924021,3.980392
900,1.935600,4.010791
