wavelength_nm,n,k
380,2.736300,0.426430
400,2.738580,0.426430
420,2.770500,0.426430
440,2.779000,0.426430
460,2.784000,0.426430
480,2.788000,0.426430
500,2.789000,0.426430
520,2.789000,0.426430
540,2.788700,0.426430
560,2.787000,0.426430
580,2.785000,0.426430
600,2.783000,0.426430
620,2.781000,0.426430
640,2.779000,0.426430
660,2.777000,0.426430
680,2.775000,0.426430
700,2.772000,0.426430
720,2.770000,0.426430
740,2.768000,0.426430
760,2.766000,0.426430
780,2.764000,0.426430
