wavelength_nm,n,k
276.430000,1.560600,0.102440
277.870000,1.559200,0.105940
279.300000,1.557300,0.110520
280.730000,1.555000,0.115610
282.170000,1.552500,0.120740
283.600000,1.550200,0.125580
285.030000,1.548200,0.129960
286.470000,1.546600,0.133810
287.900000,1.545500,0.137170
289.330000,1.545000,0.140090
290.770000,1.544900,0.142670
292.200000,1.545100,0.144980
293.640000,1.545500,0.147090
295.070000,1.545800,0.149020
296.500000,1.546100,0.150770
297.940000,1.546200,0.152300
299.370000,1.546100,0.153570
300.800000,1.545700,0.154530
302.240000,1.544800,0.155170
303.670000,1.543500,0.155490
305.100000,1.541700,0.155510
306.540000,1.539200,0.155270
307.970000,1.536100,0.154850
309.400000,1.532400,0.154330
310.840000,1.528000,0.153830
312.270000,1.523200,0.153500
313.700000,1.517900,0.153530
315.140000,1.512300,0.154110
316.570000,1.506400,0.155410
318.000000,1.500400,0.157570
319.440000,1.494400,0.160670
320.870000,1.488400,0.164740
322.310000,1.482500,0.169750
323.740000,1.476700,0.175660
325.170000,1.471100,0.182370
326.610000,1.465900,0.189790
328.040000,1.461000,0.197780
329.470000,1.456600,0.206210
330.910000,1.452700,0.214920
332.340000,1.449400,0.223770
333.770000,1.446800,0.232690
335.210000,1.444800,0.241680
336.640000,1.443500,0.250820
338.070000,1.442800,0.260230
339.510000,1.442800,0.270010
340.940000,1.443500,0.280160
342.370000,1.445000,0.290600
343.810000,1.447000,0.301180
345.240000,1.449700,0.311780
346.670000,1.452900,0.322350
348.110000,1.456600,0.332880
349.540000,1.460800,0.343390
350.970000,1.465500,0.353850
352.410000,1.470700,0.364170
353.840000,1.476400,0.374170
355.280000,1.482700,0.383730
356.710000,1.489700,0.392800
358.140000,1.497200,0.401480
359.580000,1.505300,0.409920
361.010000,1.513900,0.418330
362.440000,1.523100,0.426820
363.880000,1.532900,0.435390
365.310000,1.543200,0.443940
366.740000,1.554100,0.452300
368.180000,1.565600,0.460310
369.610000,1.577800,0.467830
371.040000,1.590900,0.474810
372.480000,1.604900,0.481220
373.910000,1.619800,0.487090
375.340000,1.635600,0.492470
376.780000,1.652000,0.497400
378.210000,1.669100,0.501900
379.640000,1.686500,0.505940
381.080000,1.704400,0.509410
382.510000,1.722800,0.512120
383.940000,1.741700,0.513840
385.380000,1.761400,0.514300
386.810000,1.781700,0.513300
388.250000,1.802400,0.510720
389.680000,1.823300,0.506550
391.110000,1.843900,0.500920
392.550000,1.863900,0.493960
393.980000,1.883100,0.485810
395.410000,1.901600,0.476520
396.850000,1.919700,0.466060
398.280000,1.937600,0.454390
399.710000,1.955600,0.441450
401.150000,1.973400,0.427230
402.580000,1.990700,0.411750
404.010000,2.007100,0.394990
405.450000,2.022200,0.376900
406.880000,2.035600,0.357420
408.310000,2.047200,0.336540
409.750000,2.056600,0.314350
411.180000,2.063800,0.291040
412.610000,2.068700,0.266850
414.050000,2.071100,0.242010
415.480000,2.070900,0.216710
416.920000,2.068100,0.191150
418.350000,2.062800,0.165620
419.780000,2.055000,0.140620
421.220000,2.044900,0.116830
422.650000,2.032800,0.095017
424.080000,2.019100,0.075857
425.520000,2.004100,0.059760
426.950000,1.988200,0.046774
428.380000,1.972000,0.036619
429.820000,1.955900,0.028805
431.250000,1.940300,0.022800
432.680000,1.925700,0.018147
434.120000,1.912200,0.014512
435.550000,1.900000,0.011671
436.980000,1.889100,0.009464
438.420000,1.879300,0.007762
439.850000,1.870400,0.006444
441.280000,1.862200,0.005398
442.720000,1.854500,0.004532
444.150000,1.847200,0.003775
445.580000,1.840100,0.003085
447.020000,1.833300,0.002445
448.450000,1.826900,0.001860
449.890000,1.821100,0.001343
451.320000,1.816100,0.000911
452.750000,1.811900,0.000574
454.190000,1.808500,0.000332
455.620000,1.806000,0.000173
457.050000,1.804300,0.000081
458.490000,1.803100,0.000033
459.920000,1.802500,0.000011
461.350000,1.802100,0.000003
462.790000,1.802000,0.000001
464.220000,1.801900,0.000000
465.650000,1.801700,0.000000
467.090000,1.801200,0.000000
468.520000,1.800300,0.000000
469.950000,1.799000,0.000000
471.390000,1.797300,0.000000
472.820000,1.795300,0.000000
474.250000,1.793000,0.000000
475.690000,1.790600,0.000000
477.120000,1.788300,0.000000
478.560000,1.785900,0.000000
479.990000,1.783700,0.000000
481.420000,1.781600,0.000000
482.860000,1.779500,0.000000
484.290000,1.777400,0.000000
485.720000,1.775400,0.000000
487.160000,1.773500,0.000000
488.590000,1.771600,0.000000
490.020000,1.769700,0.000000
491.460000,1.767900,0.000000
492.890000,1.766100,0.000000
494.320000,1.764400,0.000000
495.760000,1.762700,0.000000
497.190000,1.761000,0.000000
498.620000,1.759300,0.000000
500.060000,1.757600,0.000000
501.490000,1.756000,0.000000
502.920000,1.754500,0.000000
504.360000,1.753000,0.000000
505.790000,1.751500,0.000000
507.220000,1.750100,0.000000
508.660000,1.748500,0.000000
510.090000,1.747000,0.000000
511.530000,1.745400,0.000000
512.960000,1.743800,0.000000
514.390000,1.742200,0.000000
515.830000,1.740700,0.000000
517.260000,1.739200,0.000000
518.690000,1.737800,0.000000
520.130000,1.736300,0.000000
521.560000,1.734900,0.000000
522.990000,1.733400,0.000000
524.430000,1.731900,0.000000
525.860000,1.730400,0.000000
527.290000,1.729000,0.000000
528.730000,1.727700,0.000000
530.160000,1.726400,0.000000
531.590000,1.725200,0.000000
533.030000,1.724100,0.000000
534.460000,1.723000,0.000000
535.890000,1.722000,0.000000
537.330000,1.721000,0.000000
538.760000,1.720000,0.000000
540.190000,1.719000,0.000000
541.630000,1.718000,0.000000
543.060000,1.716900,0.000000
544.500000,1.715900,0.000000
545.930000,1.714800,0.000000
547.360000,1.713700,0.000000
548.800000,1.712600,0.000000
550.230000,1.711600,0.000000
551.660000,1.710500,0.000000
553.100000,1.709600,0.000000
554.530000,1.708700,0.000000
555.960000,1.707900,0.000000
557.400000,1.707100,0.000000
