wavelength_nm,n,k
0.000000,1.780200,0.002720
0.000000,1.778700,0.002667
0.000000,1.777300,0.002595
0.000000,1.775900,0.002507
0.000000,1.774500,0.002404
0.000000,1.773100,0.002290
0.000000,1.771800,0.002166
0.000000,1.770400,0.002035
0.000000,1.769100,0.001900
0.000000,1.767700,0.001762
0.000000,1.766400,0.001625
0.000000,1.765100,0.001489
0.000000,1.763800,0.001356
0.000000,1.762600,0.001228
0.000000,1.761300,0.001106
0.000000,1.760100,0.000991
0.000000,1.758800,0.000883
0.000000,1.757600,0.000782
0.000000,1.756400,0.000690
0.000000,1.755200,0.000605
0.000000,1.754100,0.000528
0.000000,1.752900,0.000459
0.000000,1.751800,0.000397
0.000000,1.750700,0.000342
0.000000,1.749600,0.000293
0.000000,1.748500,0.000250
0.000000,1.747400,0.000212
0.000000,1.746400,0.000180
0.000000,1.745400,0.000152
0.000000,1.744300,0.000127
0.000000,1.743400,0.000106
0.000000,1.742400,0.000089
0.000000,1.741400,0.000074
0.000000,1.740500,0.000061
0.000000,1.739600,0.000050
0.000000,1.738700,0.000041
0.000000,1.737800,0.000034
0.000000,1.736900,0.000028
0.000000,1.736100,0.000023
0.000000,1.735200,0.000018
0.000000,1.734400,0.000015
0.000000,1.733600,0.000012
0.000000,1.732800,0.000010
0.000000,1.732000,0.000008
0.000000,1.731200,0.000006
0.000000,1.730400,0.000005
0.000000,1.729700,0.000004
0.000000,1.728900,0.000003
0.000000,1.728200,0.000002
0.000000,1.727500,0.000002
0.000000,1.726800,0.000002
0.000000,1.726100,0.000001
0.000000,1.725400,0.000001
0.000000,1.724700,0.000001
0.000000,1.724000,0.000001
0.000000,1.723400,0.000000
0.000000,1.722700,0.000000
0.000000,1.722100,0.000000
0.000000,1.721500,0.000000
0.000000,1.720800,0.000000
0.000000,1.720200,0.000000
0.000000,1.719600,0.000000
0.000000,1.719000,0.000000
0.000000,1.718400,0.000000
0.000000,1.717900,0.000000
0.000000,1.717300,0.000000
0.000000,1.716700,0.000000
0.000000,1.716200,0.000000
0.000000,1.715600,0.000000
0.000000,1.715100,0.000000
0.000000,1.714500,0.000000
0.000000,1.714000,0.000000
0.000000,1.713500,0.000000
0.000000,1.713000,0.000000
0.000000,1.712500,0.000000
0.000000,1.712000,0.000000
0.000000,1.711500,0.000000
0.000000,1.711000,0.000000
0.000000,1.710500,0.000000
0.000000,1.710000,0.000000
0.000000,1.709500,0.000000
0.000000,1.709100,0.000000
0.000000,1.708600,0.000000
0.000000,1.708200,0.000000
0.000000,1.707700,0.000000
0.000000,1.707300,0.000000
0.000000,1.706800,0.000000
0.000000,1.706400,0.000000
0.000000,1.706000,0.000000
0.000000,1.705500,0.000000
0.000000,1.705100,0.000000
0.000000,1.704700,0.000000
0.000000,1.704300,0.000000
0.000000,1.703900,0.000000
0.000000,1.703500,0.000000
0.000000,1.703100,0.000000
0.000000,1.702700,0.000000
0.000000,1.702300,0.000000
0.000000,1.701900,0.000000
0.000000,1.701500,0.000000
0.000000,1.701200,0.000000
0.000000,1.700800,0.000000
0.000000,1.700400,0.000000
0.000000,1.700100,0.000000
0.000000,1.699700,0.000000
0.000000,1.699300,0.000000
0.000000,1.699000,0.000000
0.000000,1.698600,0.000000
0.000000,1.698300,0.000000
0.000000,1.698000,0.000000
0.000000,1.697600,0.000000
0.000000,1.697300,0.000000
0.000000,1.697000,0.000000
0.000000,1.696600,0.000000
0.000000,1.696300,0.000000
0.000000,1.696000,0.000000
0.000000,1.695700,0.000000
0.000000,1.695400,0.000000
0.000000,1.695100,0.000000
0.000000,1.694700,0.000000
0.000000,1.694400,0.000000
0.000000,1.694100,0.000000
0.000000,1.693800,0.000000
0.000000,1.693500,0.000000
0.000000,1.693300,0.000000
0.000000,1.693000,0.000000
0.000000,1.692700,0.000000
0.000000,1.692400,0.000000
0.000000,1.692100,0.000000
0.000000,1.691800,0.000000
0.000000,1.691600,0.000000
0.000000,1.691300,0.000000
0.000000,1.691000,0.000000
0.000000,1.690800,0.000000
0.000000,1.690500,0.000000
0.000000,1.690200,0.000000
0.000000,1.690000,0.000000
0.000000,1.689700,0.000000
0.000000,1.689500,0.000000
0.000000,1.689200,0.000000
0.000000,1.689000,0.000000
0.000000,1.688700,0.000000
0.000000,1.688500,0.000000
0.000000,1.688200,0.000000
0.000000,1.688000,0.000000
0.000000,1.687700,0.000000
0.000000,1.687500,0.000000
0.000000,1.687300,0.000000
0.000000,1.687000,0.000000
0.000000,1.686800,0.000000
0.000000,1.686600,0.000000
0.000000,1.686300,0.000000
0.000000,1.686100,0.000000
0.000000,1.685900,0.000000
0.000000,1.685700,0.000000
0.000000,1.685500,0.000000
0.000000,1.685200,0.000000
0.000000,1.685000,0.000000
0.000000,1.684800,0.000000
0.000000,1.684600,0.000000
0.000000,1.684400,0.000000
0.000000,1.684200,0.000000
0.000000,1.684000,0.000000
0.000000,1.683800,0.000000
0.000000,1.683600,0.000000
0.000000,1.683400,0.000000
0.000000,1.683200,0.000000
0.000000,1.683000,0.000000
0.000000,1.682800,0.000000
0.000000,1.682600,0.000000
0.000000,1.682400,0.000000
0.000000,1.682200,0.000000
0.000000,1.682000,0.000000
0.000000,1.681800,0.000000
0.000000,1.681600,0.000000
0.000000,1.681500,0.000000
0.000000,1.681300,0.000000
0.000000,1.681100,0.000000
0.000000,1.680900,0.000000
0.000000,1.680700,0.000000
0.000000,1.680600,0.000000
0.000000,1.680400,0.000000
0.000000,1.680200,0.000000
0.000000,1.680000,0.000000
0.000000,1.679900,0.000000
0.000000,1.679700,0.000000
0.000000,1.679500,0.000000
0.000000,1.679400,0.000000
0.000000,1.679200,0.000000
0.000000,1.679000,0.000000
