wavelength_nm,n,k
300,2.517700,0.385800
310,2.462400,0.244730
320,2.396300,0.144520
330,2.316800,0.072944
340,2.225300,0.006420
350,2.179500,0.018143
360,2.135900,0.014927
370,2.102200,0.012507
380,2.076300,0.012523
390,2.055400,0.010946
400,2.036300,0.010342
410,2.020300,0.008949
420,2.006500,0.009548
430,1.995300,0.008641
440,1.983300,0.008016
450,1.974700,0.007132
460,1.965800,0.007517
470,1.958100,0.007012
480,1.951500,0.006226
490,1.945300,0.004051
500,1.936900,0.004437
510,1.929400,0.004037
520,1.924600,0.002410
530,1.924100,0.001155
540,1.916200,0.002803
550,1.913100,0.002589
560,1.909100,0.001955
570,1.907300,0.001317
580,1.902300,0.001394
590,1.898800,0.001018
600,1.897300,0.001546
610,1.894200,0.002122
620,1.892100,0.001329
630,1.890400,0.001700
640,1.887800,0.001040
650,1.885400,0.000867
660,1.883500,0.000851
670,1.880800,0.000000
680,1.879500,0.000636
690,1.878200,0.000000
700,1.876200,0.000028
710,1.874600,0.000083
720,1.873500,0.000000
730,1.871700,0.000000
740,1.871300,0.000000
750,1.869300,0.000000
760,1.868400,0.000000
770,1.866700,0.000000
780,1.865400,0.000000
790,1.864500,0.000000
800,1.862500,0.000000
810,1.861600,0.000000
820,1.860900,0.000000
830,1.860800,0.000000
840,1.859400,0.000000
850,1.858200,0.000000
860,1.857700,0.000000
870,1.856900,0.000000
880,1.855800,0.000000
890,1.854700,0.000000
900,1.854000,0.000000
910,1.853500,0.000000
920,1.853300,0.000000
930,1.852300,0.000000
940,1.851700,0.000000
950,1.851000,0.000000
960,1.850500,0.000000
970,1.850000,0.000000
980,1.849700,0.000000
990,1.848700,0.000000
1000,1.848200,0.000000
1010,1.847700,0.000000
1020,1.847199,0.000000
1030,1.846699,0.000000
1040,1.846198,0.000000
1050,1.845697,0.000000
1060,1.845196,0.000000
1070,1.844695,0.000000
1080,1.844194,0.000000
1090,1.843693,0.000000
1100,1.843191,0.000000
1110,1.842690,0.000000
1120,1.842188,0.000000
1130,1.841686,0.000000
1140,1.841184,0.000000
1150,1.840682,0.000000
1160,1.840179,0.000000
1170,1.839677,0.000000
1180,1.839174,0.000000
1190,1.838672,0.000000
1200,1.838169,0.000000
1210,1.837666,0.000000
1220,1.837163,0.000000
1230,1.836659,0.000000
1240,1.836156,0.000000
1250,1.835652,0.000000
1260,1.835149,0.000000
1270,1.834645,0.000000
1280,1.834141,0.000000
1290,1.833637,0.000000
1300,1.833133,0.000000
1310,1.832628,0.000000
1320,1.832124,0.000000
1330,1.831619,0.000000
1340,1.831114,0.000000
1350,1.830609,0.000000
1360,1.830104,0.000000
1370,1.829599,0.000000
1380,1.829094,0.000000
1390,1.828588,0.000000
1400,1.828082,0.000000
1410,1.827577,0.000000
1420,1.827071,0.000000
1430,1.826565,0.000000
1440,1.826059,0.000000
1450,1.825552,0.000000
1460,1.825046,0.000000
1470,1.824539,0.000000
1480,1.824032,0.000000
1490,1.823525,0.000000
1500,1.823018,0.000000
1510,1.822511,0.000000
1520,1.822004,0.000000
1530,1.821496,0.000000
1540,1.820989,0.000000
1550,1.820481,0.000000
1560,1.819973,0.000000
1570,1.819465,0.000000
1580,1.818957,0.000000
1590,1.818449,0.000000
1600,1.817940,0.000000
1610,1.817432,0.000000
1620,1.816923,0.000000
1630,1.816414,0.000000
1640,1.815905,0.000000
1650,1.815396,0.000000
1660,1.814887,0.000000
1670,1.814377,0.000000
1680,1.813868,0.000000
1690,1.813358,0.000000
1700,1.812848,0.000000
