wavelength_nm,n,k
300,2.662499,3.044755
310,2.870000,3.060000
320,3.080000,3.020234
330,3.279873,2.973111
340,3.467858,2.906578
350,3.651801,2.828014
360,3.822755,2.717615
370,3.961116,2.592586
380,4.079263,2.469179
390,4.188996,2.344294
400,4.267967,2.203109
410,4.351495,2.064889
420,4.397659,1.933553
430,4.427045,1.804576
440,4.460090,1.675923
450,4.471996,1.564499
460,4.476709,1.459115
470,4.483750,1.353250
480,4.486425,1.254220
490,4.475752,1.170554
500,4.467695,1.090821
510,4.462693,1.017569
520,4.452363,0.949323
530,4.430237,0.890990
540,4.408643,0.831971
550,4.387617,0.772271
560,4.367196,0.711897
570,4.344923,0.664704
580,4.321501,0.624806
590,4.298260,0.584449
600,4.275214,0.543628
610,4.252381,0.502339
620,4.229815,0.460705
630,4.211348,0.431041
640,4.192983,0.401107
650,4.174728,0.370899
660,4.153630,0.344483
670,4.131519,0.319226
680,4.109425,0.293696
690,4.087637,0.268907
700,4.067924,0.251369
710,4.048181,0.233663
720,4.028411,0.215784
730,4.008778,0.198052
740,3.991293,0.184441
750,3.973774,0.170712
760,3.956219,0.156863
770,3.938631,0.142891
780,3.923119,0.130680
790,3.909612,0.120196
800,3.896083,0.109639
810,3.882534,0.099009
820,3.868966,0.088305
830,3.854860,0.078883
840,3.839709,0.072032
850,3.824509,0.065127
860,3.809261,0.058169
870,3.793963,0.051155
880,3.778616,0.044084
890,3.763219,0.036957
900,3.747772,0.029771
910,3.732274,0.022526
920,3.716726,0.015221
930,3.701126,0.007855
940,3.685476,0.000427
950,3.669773,-0.007065
960,3.654019,-0.014622
970,3.638213,-0.022244
980,3.622354,-0.029934
990,3.606442,-0.037691
1000,3.590478,-0.045518
1010,3.574461,-0.053416
1020,3.558390,-0.061386
1030,3.542266,-0.069429
1040,3.526088,-0.077547
1050,3.509856,-0.085741
1060,3.493570,-0.094012
1070,3.477230,-0.102363
1080,3.460835,-0.110794
1090,3.444386,-0.119307
1100,3.427882,-0.127904
1110,3.411323,-0.136587
1120,3.394710,-0.145356
1130,3.378042,-0.154215
1140,3.361318,-0.163163
1150,3.344540,-0.172205
1160,3.327707,-0.181340
1170,3.310819,-0.190571
1180,3.293876,-0.199901
1190,3.276879,-0.209330
1200,3.259827,-0.218861
1210,3.242721,-0.228497
1220,3.225560,-0.238238
1230,3.208346,-0.248088
1240,3.191078,-0.258049
1250,3.173757,-0.268122
1260,3.156384,-0.278311
1270,3.138958,-0.288617
1280,3.121480,-0.299043
1290,3.103952,-0.309592
1300,3.086372,-0.320265
1310,3.068743,-0.331067
1320,3.051065,-0.341999
1330,3.033339,-0.353063
1340,3.015565,-0.364264
1350,2.997746,-0.375603
1360,2.979881,-0.387084
1370,2.961972,-0.398709
1380,2.944021,-0.410481
1390,2.926029,-0.422404
1400,2.907998,-0.434480
1410,2.889928,-0.446713
1420,2.871823,-0.459105
1430,2.853683,-0.471660
1440,2.835512,-0.484382
1450,2.817310,-0.497273
1460,2.799081,-0.510336
1470,2.780827,-0.523575
1480,2.762550,-0.536994
1490,2.744254,-0.550596
1500,2.725942,-0.564383
1510,2.707617,-0.578360
1520,2.689281,-0.592529
1530,2.670940,-0.606894
1540,2.652596,-0.621459
1550,2.634254,-0.636225
1560,2.615917,-0.651198
1570,2.597591,-0.666379
1580,2.579281,-0.681772
1590,2.560990,-0.697380
1600,2.542724,-0.713205
1610,2.524490,-0.729250
1620,2.506291,-0.745518
1630,2.488135,-0.762011
1640,2.470026,-0.778731
1650,2.451973,-0.795681
1660,2.433981,-0.812861
1670,2.416057,-0.830274
1680,2.398208,-0.847921
1690,2.380441,-0.865802
1700,2.362764,-0.883919
