wavelength_nm,n,k
400.000000,2.031521,
410.000000,1.982911,
420.000000,1.934448,
430.000000,1.902784,
440.000000,1.878980,
450.000000,1.860268,
460.000000,1.843508,
470.000000,1.831931,
480.000000,1.820354,
490.000000,1.811323,
500.000000,1.803349,
510.000000,1.795645,
520.000000,1.789597,
530.000000,1.783550,
540.000000,1.778368,
550.000000,1.773828,
560.000000,1.769294,
570.000000,1.765425,
580.000000,1.761556,
590.000000,1.758019,
600.000000,1.754904,
610.000000,1.751789,
620.000000,1.749333,
630.000000,1.746972,
640.000000,1.745335,
650.000000,1.745335,
660.000000,1.745335,
670.000000,1.745335,
680.000000,1.745335,
690.000000,1.745335,
700.000000,1.745335,
710.000000,1.745335,
720.000000,1.745335,
730.000000,1.745335,
740.000000,1.745335,
750.000000,1.745335,
760.000000,1.745335,
770.000000,1.745335,
780.000000,1.745335,
790.000000,1.745335,
