wavelength_nm,n,k
302,1.764558,0.233764
304,1.754397,0.237566
306,1.744120,0.241355
308,1.733464,0.249561
310,1.721431,0.258110
312,1.710922,0.267957
314,1.706392,0.281370
316,1.702765,0.296149
318,1.700486,0.315825
320,1.701654,0.334207
322,1.706860,0.352172
324,1.713260,0.372767
326,1.723409,0.392467
328,1.738275,0.407697
330,1.756929,0.428167
332,1.773353,0.443831
334,1.791704,0.456052
336,1.814378,0.464620
338,1.832747,0.472519
340,1.846395,0.478711
342,1.868796,0.482992
344,1.894447,0.485269
346,1.921021,0.484023
348,1.941011,0.481295
350,1.954747,0.477474
352,1.974884,0.471041
354,2.000600,0.462436
356,2.017864,0.454209
358,2.032051,0.445553
360,2.044979,0.426741
362,2.057784,0.412423
364,2.070620,0.398682
366,2.079316,0.384758
368,2.086812,0.370165
370,2.091712,0.353983
372,2.096610,0.338461
374,2.100742,0.322267
376,2.104861,0.306053
378,2.108026,0.291654
380,2.109455,0.276376
382,2.110877,0.260779
384,2.111295,0.245067
386,2.110329,0.230975
388,2.109378,0.216771
390,2.107670,0.202525
392,2.105749,0.186244
394,2.103486,0.170030
396,2.099204,0.153749
398,2.094899,0.142367
400,2.089939,0.131488
402,2.084779,0.120605
404,2.079648,0.109713
406,2.071467,0.095566
408,2.063594,0.080721
410,2.056625,0.070285
412,2.049713,0.060977
414,2.042745,0.052274
416,2.034064,0.044207
418,2.021616,0.036198
420,2.011237,0.028362
422,2.002342,0.020731
424,1.993361,0.014607
426,1.984052,0.009621
428,1.974755,0.006056
430,1.967043,0.002488
432,1.959505,0.000864
434,1.951955,0.000000
436,1.945782,0.000000
438,1.940254,0.000000
440,1.934577,0.000000
442,1.928751,0.000000
444,1.923028,0.000000
446,1.918010,0.000000
448,1.913090,0.000000
450,1.908295,0.000000
452,1.904394,0.000000
454,1.900504,0.000000
456,1.896591,0.000000
458,1.893419,0.000000
460,1.890376,0.000000
462,1.887325,0.000000
464,1.884290,0.000000
466,1.881440,0.000000
468,1.878836,0.000000
470,1.876243,0.000000
472,1.873663,0.000000
474,1.871069,0.000000
476,1.868461,0.000000
478,1.865860,0.000000
480,1.863235,0.000000
482,1.860658,0.000000
484,1.858127,0.000000
486,1.855731,0.000000
488,1.853966,0.000000
490,1.852003,0.000000
492,1.849960,0.000000
494,1.847914,0.000000
496,1.845844,0.000000
498,1.843741,0.000000
500,1.841651,0.000000
502,1.839918,0.000000
504,1.838414,0.000000
506,1.836923,0.000000
508,1.835438,0.000000
510,1.833953,0.000000
512,1.832446,0.000000
514,1.830960,0.000000
516,1.829477,0.000000
518,1.827999,0.000000
520,1.826525,0.000000
522,1.825040,0.000000
524,1.823562,0.000000
526,1.822078,0.000000
