wavelength_nm,n,k
300,1.758930,0.125230
305,1.749330,0.135360
310,1.733990,0.145500
315,1.722870,0.155640
320,1.709380,0.165780
325,1.699780,0.175910
330,1.698760,0.186050
335,1.706520,0.196190
340,1.726240,0.206330
345,1.739550,0.216470
350,1.743260,0.226600
355,1.740900,0.236740
360,1.734660,0.246880
365,1.724720,0.256420
370,1.716290,0.264640
375,1.706850,0.271140
380,1.695900,0.275260
385,1.688990,0.277960
390,1.679720,0.281670
395,1.668760,0.285940
400,1.660000,0.290960
405,1.650390,0.296450
410,1.640450,0.302050
415,1.633030,0.308240
420,1.626460,0.312670
425,1.620560,0.317090
430,1.615340,0.320650
435,1.612980,0.323230
440,1.611800,0.324750
445,1.614490,0.325560
450,1.621400,0.325490
455,1.631180,0.324620
460,1.645510,0.321890
465,1.664890,0.317020
470,1.684440,0.309230
475,1.711740,0.297490
480,1.738710,0.282330
485,1.771240,0.265940
490,1.805960,0.246520
495,1.834440,0.226070
500,1.871180,0.205130
505,1.904210,0.185270
510,1.937750,0.166440
515,1.968430,0.149030
520,1.995730,0.133450
525,2.020170,0.121460
530,2.042420,0.112090
535,2.058260,0.106530
540,2.073760,0.101740
545,2.086240,0.098700
550,2.099210,0.096570
555,2.117750,0.095100
560,2.132750,0.094230
565,2.145560,0.094570
570,2.147580,0.095420
575,2.146400,0.096690
580,2.134940,0.098610
585,2.124830,0.100920
590,2.119610,0.103440
595,2.118760,0.106630
600,2.121460,0.109880
605,2.130730,0.113180
610,2.142020,0.116780
615,2.143370,0.120950
620,2.140170,0.125550
625,2.126690,0.130190
630,2.111690,0.135000
635,2.095000,0.140100
640,2.075280,0.145940
645,2.057920,0.151840
650,2.041240,0.157790
655,2.025220,0.164690
660,2.010060,0.171710
665,1.995560,0.179140
670,1.984780,0.186580
675,1.975670,0.194010
680,1.965560,0.201690
685,1.957640,0.209800
690,1.950060,0.217910
695,1.945340,0.226440
700,1.939940,0.234550
705,1.935560,0.242960
710,1.931690,0.251610
715,1.927980,0.260110
720,1.922580,0.268660
725,1.920560,0.277270
730,1.915170,0.286060
735,1.912300,0.294840
740,1.908600,0.303630
745,1.904720,0.311850
750,1.900340,0.320370
755,1.897130,0.328780
760,1.893760,0.337110
765,1.890390,0.345340
770,1.888200,0.352780
775,1.884330,0.360210
780,1.881290,0.366360
785,1.879270,0.371670
790,1.877420,0.376080
795,1.873710,0.380490
800,1.872530,0.384210
805,1.870000,0.387560
810,1.868480,0.390120
815,1.865450,0.392310
820,1.863930,0.395020
825,1.861740,0.397450
830,1.861570,0.400150
835,1.859210,0.402650
840,1.858030,0.405280
845,1.856180,0.408140
850,1.854490,0.411080
855,1.853150,0.413680
860,1.851970,0.415820
865,1.850620,0.417140
870,1.849440,0.417280
875,1.849440,0.416500
880,1.847580,0.414760
885,1.845900,0.411570
890,1.845730,0.407390
895,1.844550,0.399670
900,1.843370,0.388990
905,1.842190,0.375690
910,1.841010,0.359980
915,1.839830,0.343350
920,1.838650,0.323790
925,1.837470,0.303630
930,1.836290,0.282520
935,1.835110,0.260990
940,1.833930,0.239190
945,1.832750,0.218770
950,1.831570,0.198490
955,1.830390,0.180230
960,1.829210,0.162350
965,1.828030,0.145570
970,1.826850,0.128650
975,1.825670,0.113640
980,1.824490,0.101010
985,1.823310,0.090110
990,1.822130,0.081670
995,1.820950,0.074550
1000,1.819770,0.069400
1005,1.818590,0.064730
1010,1.817410,0.060450
1015,1.816230,0.056790
1020,1.815050,0.053540
1025,1.813870,0.050480
1030,1.812690,0.047870
1035,1.811510,0.045710
1040,1.810330,0.043680
1045,1.809150,0.041770
1050,1.807970,0.040300
1055,1.806790,0.038820
1060,1.805610,0.037460
1065,1.804430,0.036290
1070,1.803250,0.035180
1075,1.802070,0.034120
1080,1.800890,0.033110
1085,1.799710,0.032090
1090,1.798530,0.031200
1095,1.797350,0.030380
1100,1.796170,0.029790
1105,1.794990,0.029250
1110,1.793810,0.028530
1115,1.792630,0.027820
1120,1.791450,0.027410
1125,1.790270,0.026930
1130,1.789090,0.026190
1135,1.787910,0.025830
1140,1.786730,0.025790
1145,1.785550,0.025420
1150,1.784370,0.025420
1155,1.783190,0.025420
1160,1.782010,0.025420
1165,1.780830,0.025420
1170,1.779650,0.026200
1175,1.778470,0.026630
1180,1.777290,0.027040
1185,1.776110,0.027440
1190,1.774930,0.027850
1195,1.773750,0.028250
1200,1.772570,0.028660
