wavelength_nm,n,k
300.000300,2.052480,0.242630
301.100860,2.063170,0.238930
302.201400,2.071570,0.231100
303.301940,2.076780,0.220450
304.402500,2.078510,0.208340
305.503050,2.076930,0.195960
306.603600,2.072490,0.184180
307.704160,2.065780,0.173620
308.804700,2.057360,0.164630
309.905240,2.047770,0.157400
311.005800,2.037500,0.152010
312.106350,2.026950,0.148460
313.206900,2.016490,0.146710
314.307460,2.006480,0.146700
315.408000,1.997280,0.148320
316.508540,1.989230,0.151410
317.609100,1.982700,0.155710
318.709660,1.978010,0.160860
319.810200,1.975420,0.166370
320.910740,1.975020,0.171610
322.011300,1.976690,0.175890
323.111850,1.980030,0.178580
324.212400,1.984370,0.179200
325.312960,1.988900,0.177580
326.413500,1.992800,0.173910
327.514040,1.995420,0.168640
328.614600,1.996330,0.162440
329.715150,1.995390,0.156040
330.815700,1.992700,0.150130
331.916260,1.988530,0.145340
333.016800,1.983340,0.142240
334.117340,1.977750,0.141290
335.217900,1.972630,0.142850
336.318450,1.969220,0.147020
337.419000,1.969060,0.153270
338.519560,1.973680,0.159990
339.620100,1.983570,0.164270
340.720640,1.997000,0.162990
341.821200,2.010220,0.154800
342.921750,2.019620,0.141280
344.022300,2.023770,0.125520
345.122860,2.023270,0.110110
346.223420,2.019520,0.096420
347.323970,2.013840,0.084820
348.424500,2.007180,0.075190
349.525050,2.000130,0.067240
350.625600,1.993020,0.060640
351.726170,1.986050,0.055130
352.826720,1.979300,0.050480
353.927250,1.972810,0.046520
355.027800,1.966610,0.043110
356.128360,1.960680,0.040150
357.228900,1.955010,0.037550
358.329470,1.949590,0.035260
359.430020,1.944410,0.033220
360.530550,1.939450,0.031400
361.631100,1.934690,0.029760
362.731660,1.930120,0.028270
363.832200,1.925720,0.026920
364.932770,1.921490,0.025680
366.033330,1.917410,0.024550
367.133850,1.913480,0.023510
368.234400,1.909680,0.022550
369.334960,1.906000,0.021660
370.435520,1.902450,0.020830
371.536070,1.899000,0.020060
372.636600,1.895660,0.019340
373.737150,1.892420,0.018670
374.837700,1.889280,0.018040
375.938260,1.886220,0.017450
377.038820,1.883250,0.016890
378.139370,1.880360,0.016360
379.239900,1.877550,0.015870
380.340450,1.874810,0.015400
381.441000,1.872140,0.014950
382.541560,1.869530,0.014530
383.642120,1.866990,0.014130
384.742650,1.864510,0.013750
385.843200,1.862100,0.013390
386.943760,1.859730,0.013040
388.044300,1.857420,0.012720
389.144870,1.855170,0.012400
390.245420,1.852960,0.012100
391.345950,1.850800,0.011820
392.446500,1.848690,0.011540
393.547060,1.846620,0.011280
394.647600,1.844600,0.011020
395.748170,1.842620,0.010780
396.848720,1.840680,0.010550
397.949250,1.838770,0.010330
399.049800,1.836910,0.010110
400.150360,1.835080,0.009900
401.250920,1.833290,0.009710
402.351470,1.831530,0.009510
403.452000,1.829800,0.009330
404.552550,1.828110,0.009150
405.653100,1.826450,0.008980
406.753660,1.824820,0.008810
407.854220,1.823210,0.008650
408.954770,1.821640,0.008490
410.055300,1.820100,0.008340
411.155850,1.818580,0.008200
412.256400,1.817080,0.008060
413.356960,1.815620,0.007920
414.457520,1.814180,0.007790
415.558070,1.812760,0.007660
416.658600,1.811360,0.007540
417.759160,1.809990,0.007420
418.859700,1.808640,0.007300
419.960270,1.807320,0.007190
421.060820,1.806010,0.007080
422.161350,1.804720,0.006970
423.261900,1.803460,0.006860
424.362460,1.802210,0.006760
425.463000,1.800990,0.006660
426.563570,1.799780,0.006570
427.664120,1.798590,0.006470
428.764650,1.797420,0.006380
429.865200,1.796270,0.006290
430.965760,1.795130,0.006210
432.066300,1.794010,0.006120
433.166870,1.792910,0.006040
434.267430,1.791820,0.005960
435.367980,1.790750,0.005880
436.468500,1.789700,0.005810
437.569060,1.788650,0.005730
438.669620,1.787630,0.005660
439.770170,1.786620,0.005590
440.870730,1.785620,0.005520
441.971280,1.784630,0.005450
443.071800,1.783660,0.005390
444.172360,1.782700,0.005320
445.272920,1.781760,0.005260
446.373470,1.780830,0.005200
447.474030,1.779910,0.005140
448.574600,1.779000,0.005080
449.675100,1.778100,0.005020
450.775670,1.777220,0.004970
451.876220,1.776350,0.004910
452.976780,1.775490,0.004860
454.077330,1.774640,0.004800
455.177860,1.773800,0.004750
456.278400,1.772970,0.004700
457.378970,1.772150,0.004650
458.479520,1.771340,0.004600
459.580080,1.770540,0.004560
460.680630,1.769750,0.004510
461.781160,1.768970,0.004460
462.881700,1.768200,0.004420
463.982270,1.767440,0.004370
465.082820,1.766690,0.004330
466.183380,1.765950,0.004290
467.283900,1.765220,0.004250
468.384460,1.764490,0.004210
469.485020,1.763780,0.004170
470.585570,1.763070,0.004130
471.686130,1.762370,0.004090
472.786680,1.761680,0.004050
473.887200,1.761000,0.004010
474.987760,1.760320,0.003980
476.088320,1.759650,0.003940
477.188870,1.758990,0.003900
478.289430,1.758340,0.003870
479.389980,1.757690,0.003840
480.490500,1.757050,0.003800
481.591060,1.756420,0.003770
482.691620,1.755800,0.003740
483.792180,1.755180,0.003700
484.892730,1.754570,0.003670
485.993260,1.753970,0.003640
487.093800,1.753370,0.003610
488.194370,1.752780,0.003580
489.294920,1.752190,0.003550
490.395480,1.751610,0.003520
491.496030,1.751040,0.003500
492.596560,1.750470,0.003470
493.697100,1.749910,0.003440
494.797670,1.749360,0.003410
495.898220,1.748810,0.003390
496.998780,1.748270,0.003360
498.099330,1.747730,0.003330
