wavelength_nm,n,k
400,1.840440,0.000610
401,1.839000,0.000580
402,1.837620,0.000550
403,1.836240,0.000520
404,1.834870,0.000490
405,1.833540,0.000470
406,1.832240,0.000440
407,1.830990,0.000420
408,1.829690,0.000400
409,1.828390,0.000380
410,1.827200,0.000360
411,1.826010,0.000340
412,1.824820,0.000320
413,1.823620,0.000310
414,1.822450,0.000290
415,1.821330,0.000280
416,1.820200,0.000260
417,1.819080,0.000250
418,1.818010,0.000240
419,1.816950,0.000230
420,1.815890,0.000210
421,1.814870,0.000200
422,1.813870,0.000190
423,1.812870,0.000180
424,1.811870,0.000170
425,1.810870,0.000170
426,1.809860,0.000160
427,1.808890,0.000150
428,1.807960,0.000140
429,1.807010,0.000140
430,1.806090,0.000130
431,1.805220,0.000120
432,1.804340,0.000120
433,1.803470,0.000110
434,1.802590,0.000100
435,1.801710,0.000100
436,1.800840,0.000090
437,1.800020,0.000090
438,1.799200,0.000090
439,1.798390,0.000080
440,1.797570,0.000080
441,1.796760,0.000070
442,1.795940,0.000070
443,1.795170,0.000070
444,1.794420,0.000060
445,1.793660,0.000060
446,1.792910,0.000060
447,1.792160,0.000050
448,1.791410,0.000050
449,1.790670,0.000050
450,1.789980,0.000050
451,1.789290,0.000050
452,1.788600,0.000040
453,1.787910,0.000040
454,1.787220,0.000040
455,1.786530,0.000040
456,1.785840,0.000040
457,1.785170,0.000030
458,1.784540,0.000030
459,1.783870,0.000030
460,1.783190,0.000030
461,1.782560,0.000030
462,1.781930,0.000030
463,1.781310,0.000030
464,1.780680,0.000020
465,1.780070,0.000020
466,1.779500,0.000020
467,1.778900,0.000020
468,1.778280,0.000020
469,1.777710,0.000020
470,1.777150,0.000020
471,1.776580,0.000020
472,1.776020,0.000020
473,1.775460,0.000020
474,1.774890,0.000020
475,1.774330,0.000010
476,1.773770,0.000010
477,1.773270,0.000010
478,1.772740,0.000010
479,1.772170,0.000010
480,1.771670,0.000010
481,1.771160,0.000010
482,1.770660,0.000010
483,1.770160,0.000010
484,1.769660,0.000010
485,1.769160,0.000010
486,1.768660,0.000010
487,1.768160,0.000010
488,1.767650,0.000010
489,1.767150,0.000010
490,1.766650,0.000010
491,1.766190,0.000010
492,1.765760,0.000010
493,1.765320,0.000010
494,1.764850,0.000010
495,1.764350,0.000010
496,1.763900,0.000010
497,1.763460,0.000010
498,1.763020,0.000010
499,1.762590,0.000000
500,1.762150,0.000000
501,1.761710,0.000000
502,1.761270,0.000000
503,1.760830,0.000000
504,1.760450,0.000000
505,1.760050,0.000000
506,1.759610,0.000000
507,1.759170,0.000000
508,1.758740,0.000000
509,1.758370,0.000000
510,1.757990,0.000000
511,1.757620,0.000000
512,1.757180,0.000000
513,1.756770,0.000000
514,1.756390,0.000000
515,1.756010,0.000000
516,1.755640,0.000000
517,1.755260,0.000000
518,1.754880,0.000000
519,1.754510,0.000000
520,1.754130,0.000000
521,1.753780,0.000000
522,1.753470,0.000000
523,1.753100,0.000000
524,1.752730,0.000000
525,1.752350,0.000000
526,1.752010,0.000000
527,1.751700,0.000000
528,1.751330,0.000000
529,1.750970,0.000000
530,1.750660,0.000000
531,1.750300,0.000000
532,1.749930,0.000000
533,1.749620,0.000000
534,1.749310,0.000000
535,1.748990,0.000000
536,1.748680,0.000000
537,1.748370,0.000000
538,1.748050,0.000000
539,1.747690,0.000000
540,1.747330,0.000000
541,1.747010,0.000000
542,1.746740,0.000000
543,1.746480,0.000000
544,1.746170,0.000000
545,1.745860,0.000000
546,1.745540,0.000000
547,1.745230,0.000000
548,1.744920,0.000000
549,1.744600,0.000000
550,1.744330,0.000000
551,1.744080,0.000000
552,1.743760,0.000000
553,1.743480,0.000000
554,1.743230,0.000000
555,1.742920,0.000000
556,1.742630,0.000000
557,1.742380,0.000000
558,1.742080,0.000000
559,1.741780,0.000000
560,1.741530,0.000000
561,1.741270,0.000000
562,1.741020,0.000000
563,1.740720,0.000000
564,1.740420,0.000000
565,1.740170,0.000000
566,1.739920,0.000000
567,1.739670,0.000000
568,1.739420,0.000000
569,1.739170,0.000000
570,1.738920,0.000000
571,1.738670,0.000000
572,1.738420,0.000000
573,1.738170,0.000000
574,1.737910,0.000000
575,1.737660,0.000000
576,1.737410,0.000000
577,1.737160,0.000000
