wavelength_nm,n,k
400.951300,1.834040,0
412.535400,1.821190,0
423.682370,1.806540,0
437.670710,1.796430,0
451.659060,1.784630,0
465.647410,1.776210,0
483.679260,1.766620,0
502.913240,1.754820,0
523.895760,1.749770,0
547.173250,1.739130,0
568.811480,1.733540,0
589.138290,1.729010,0
609.574390,1.722910,0
624.764870,1.721750,0
649.244470,1.717220,0
669.680580,1.713850,0
695.908730,1.710480,0
722.136880,1.707100,0
744.212240,1.705420,0
766.396890,1.702680,0
786.832990,1.700360,0
798.417090,1.700360,0
