wavelength_nm,n,k
0.040106,1.867100,0.003744
0.034456,1.860400,0.002770
0.029500,1.854100,0.002035
0.025172,1.848300,0.001485
0.021408,1.842800,0.001076
0.018148,1.837800,0.000775
0.015336,1.833100,0.000555
0.012921,1.828600,0.000395
0.010854,1.824500,0.000280
0.009091,1.820600,0.000197
0.007593,1.816900,0.000138
0.006324,1.813300,0.000096
0.005254,1.810000,0.000066
0.004353,1.806900,0.000046
0.003598,1.803800,0.000031
0.002966,1.801000,0.000021
0.002440,1.798200,0.000015
0.002003,1.795600,0.000010
0.001640,1.793000,0.000007
0.001340,1.790600,0.000004
0.001093,1.788200,0.000003
0.000889,1.786000,0.000002
0.000722,1.783800,0.000001
0.000586,1.781700,0.000001
0.000474,1.779600,0.000001
0.000383,1.777700,0.000000
0.000308,1.775700,0.000000
0.000249,1.773900,0.000000
0.000200,1.772100,0.000000
0.000160,1.770300,0.000000
0.000129,1.768600,0.000000
0.000103,1.767000,0.000000
0.000082,1.765400,0.000000
0.000066,1.763800,0.000000
0.000052,1.762300,0.000000
0.000042,1.760800,0.000000
0.000033,1.759400,0.000000
0.000026,1.757900,0.000000
0.000021,1.756600,0.000000
0.000017,1.755200,0.000000
0.000013,1.753900,0.000000
0.000010,1.752600,0.000000
0.000008,1.751400,0.000000
0.000006,1.750100,0.000000
0.000005,1.748900,0.000000
0.000004,1.747700,0.000000
0.000003,1.746600,0.000000
0.000002,1.745500,0.000000
0.000002,1.744400,0.000000
0.000002,1.743300,0.000000
0.000001,1.742200,0.000000
0.000001,1.741200,0.000000
0.000001,1.740200,0.000000
0.000001,1.739100,0.000000
0.000000,1.738200,0.000000
0.000000,1.737200,0.000000
0.000000,1.736300,0.000000
0.000000,1.735300,0.000000
0.000000,1.734400,0.000000
0.000000,1.733500,0.000000
0.000000,1.732600,0.000000
0.000000,1.731800,0.000000
0.000000,1.730900,0.000000
0.000000,1.730100,0.000000
0.000000,1.729200,0.000000
0.000000,1.728400,0.000000
0.000000,1.727600,0.000000
0.000000,1.726900,0.000000
0.000000,1.726100,0.000000
0.000000,1.725300,0.000000
0.000000,1.724600,0.000000
0.000000,1.723800,0.000000
0.000000,1.723100,0.000000
0.000000,1.722400,0.000000
0.000000,1.721700,0.000000
0.000000,1.721000,0.000000
0.000000,1.720300,0.000000
0.000000,1.719600,0.000000
0.000000,1.719000,0.000000
0.000000,1.718300,0.000000
0.000000,1.717700,0.000000
0.000000,1.717000,0.000000
0.000000,1.716400,0.000000
0.000000,1.715800,0.000000
0.000000,1.715200,0.000000
0.000000,1.714600,0.000000
0.000000,1.714000,0.000000
0.000000,1.713400,0.000000
0.000000,1.712800,0.000000
0.000000,1.712300,0.000000
0.000000,1.711700,0.000000
0.000000,1.711200,0.000000
0.000000,1.710600,0.000000
0.000000,1.710100,0.000000
0.000000,1.709500,0.000000
0.000000,1.709000,0.000000
0.000000,1.708500,0.000000
0.000000,1.708000,0.000000
0.000000,1.707500,0.000000
0.000000,1.707000,0.000000
0.000000,1.706500,0.000000
0.000000,1.706000,0.000000
0.000000,1.705500,0.000000
0.000000,1.705000,0.000000
0.000000,1.704600,0.000000
0.000000,1.704100,0.000000
0.000000,1.703600,0.000000
0.000000,1.703200,0.000000
0.000000,1.702700,0.000000
0.000000,1.702300,0.000000
0.000000,1.701800,0.000000
0.000000,1.701400,0.000000
0.000000,1.701000,0.000000
0.000000,1.700600,0.000000
0.000000,1.700100,0.000000
0.000000,1.699700,0.000000
0.000000,1.699300,0.000000
0.000000,1.698900,0.000000
0.000000,1.698500,0.000000
0.000000,1.698100,0.000000
0.000000,1.697700,0.000000
0.000000,1.697300,0.000000
0.000000,1.696900,0.000000
0.000000,1.696600,0.000000
0.000000,1.696200,0.000000
0.000000,1.695800,0.000000
0.000000,1.695500,0.000000
0.000000,1.695100,0.000000
0.000000,1.694700,0.000000
0.000000,1.694400,0.000000
0.000000,1.694000,0.000000
0.000000,1.693700,0.000000
0.000000,1.693300,0.000000
0.000000,1.693000,0.000000
0.000000,1.692600,0.000000
0.000000,1.692300,0.000000
0.000000,1.692000,0.000000
0.000000,1.691700,0.000000
0.000000,1.691300,0.000000
0.000000,1.691000,0.000000
0.000000,1.690700,0.000000
0.000000,1.690400,0.000000
0.000000,1.690100,0.000000
0.000000,1.689700,0.000000
0.000000,1.689400,0.000000
0.000000,1.689100,0.000000
0.000000,1.688800,0.000000
0.000000,1.688500,0.000000
0.000000,1.688200,0.000000
0.000000,1.688000,0.000000
0.000000,1.687700,0.000000
0.000000,1.687400,0.000000
0.000000,1.687100,0.000000
0.000000,1.686800,0.000000
0.000000,1.686500,0.000000
0.000000,1.686300,0.000000
0.000000,1.686000,0.000000
0.000000,1.685700,0.000000
0.000000,1.685400,0.000000
0.000000,1.685200,0.000000
0.000000,1.684900,0.000000
0.000000,1.684600,0.000000
0.000000,1.684400,0.000000
0.000000,1.684100,0.000000
0.000000,1.683900,0.000000
0.000000,1.683600,0.000000
0.000000,1.683400,0.000000
0.000000,1.683100,0.000000
0.000000,1.682900,0.000000
0.000000,1.682600,0.000000
0.000000,1.682400,0.000000
0.000000,1.682200,0.000000
0.000000,1.681900,0.000000
